окупација,машки,женски
лекар,тој,таа
доктор,син,ќерка
работничка,неговиот,нејзин
конзерватор,него,неа
благајник,татко,мајка
сопственик,човек,жена
оператор,момче,девојче
шанкер,самиот,самата
механичар,машки,женски
геодет,брат,сестра
физичар,синови,ќерки
машинист,татковци,мајки
архитект,мажи,жени
фотограф,момчиња,девојчиња
наставник,мажјаци,женски
оптиометрист,браќа,сестри
мелничар,чичко,тетка
трговец,чичковци,тетки
продажба,внук,внука
тапацир,внуци,внуки
пекар,,
Смит,,
менаџер,,
статистичар,,
вратарка,,
атлетичар,,
извршител,,
танцувач,,
нутриционист,,
брокер,,
машина за пишување,,
диететичар,,
автор,,
службеник,,
забавувач,,
економист,,
котел,,
столар,,
службено,,
спроводник,,
Медицинска сестра,,
портер,,
книговодник,,
хемичар,,
инспектор,,
секретар,,
свештенички,,
терапевт,,
професор,,
техничар,,
продавач,,
адвокат,,
земјоделец,,
ветеринар,,
Електричар,,
придружник,,
служител,,
морнар,,
ткајачот,,
музичар,,
шкафче,,
геолог,,
сетер,,
психолог,,
ѓубре,,
дизајнер,,
инструктор,,
фармацевт,,
малтер,,
судија,,
креатор на алатки,,
шериф,,
библиотекар,,
хирург,,
научник,,
златар,,
композитор,,
инженер,,
столар,,
уметник,,
војник,,
сметководител,,
свештенството,,
сликар,,
чевлар,,
водоводџија,,
asonидарски,,
готви,,
нацрт,,
весници,,
пилот,,
хиропрактор,,
администратор,,
стоматолог,,
полицијата,,
градинар,,
возач,,
домаќинка,,
чувар,,
заварувач,,
