ocupación,masculino,hembra
médico,él,ella
médico,hijo,hija
obrero,su,suyo
conservacionista,él,su
cajero,padre,madre
propietario,hombre,mujer
operador,chico,niña
barman,él mismo,sí misma
mecánico,masculino,hembra
topógrafo,hermano,hermana
físico,hijos,hijas
maquinista,padres,madres
arquitecto,hombres,mujer
fotógrafo,Niños,muchachas
profesor,machos,hembras
optometrista,hermanos,hermanas
Mecanico de molinos,tío,tía
comerciante,tios,tias
ventas,sobrino,sobrina
tapicero,sobrinos,sobrinas
panadero,,
Herrero,,
gerente,,
estadístico,,
portero,,
atleta,,
alguacil,,
bailarín,,
nutricionista,,
corredor,,
tipógrafo,,
dietético,,
autor,,
empleado,,
artista,,
economista,,
calderero,,
ebanista,,
oficial,,
conductor,,
enfermero,,
portero,,
encuadernador,,
químico,,
inspector,,
secretario,,
clerical,,
terapeuta,,
profesor,,
técnico,,
vendedor,,
abogado,,
granjero,,
veterinario,,
electricista,,
asistente,,
portero,,
marinero,,
tejedor,,
músico,,
camareros,,
geólogo,,
setter,,
psicólogo,,
leñador,,
diseñador,,
instructor,,
farmacéutico,,
yesero,,
juez,,
fabricante de herramientas,,
alguacil,,
bibliotecario,,
cirujano,,
científico,,
joyero,,
compositor,,
ingeniero,,
carpintero,,
artista,,
soldado,,
contador,,
clero,,
pintor,,
zapatero,,
fontanero,,
masón,,
cocinar,,
dibujante,,
periodista,,
piloto,,
quiropráctico,,
administrador,,
dentista,,
policía,,
jardinero,,
conductor,,
ama de casa,,
Guardia,,
soldador,,
