ஆக்கிரமிப்பு,ஆண்,பெண்
மருத்துவர்,அவர்,அவள்
மருத்துவர்,மகன்,மகள்
கூலியாளாக,அவரது,அவளுடையது
சுற்றுச்சூழல் ஆர்வலரான,அவரை,அவளை
காசாளர்,அப்பா,அம்மா
உரிமையாளர்,மனிதன்,பெண்
ஆபரேட்டர்,சிறுவன்,பெண்
மதுக்கடை,தன்னை,தன்னை
பொறிமுறையாளர்,ஆண்,பெண்
நிலமளப்போர்,சகோதரன்,சகோதரி
இயற்பியலாளர்,மகன்கள்,மகள்கள்
எந்திர,தந்தைகள்,தாய்மார்கள்
கட்டட வடிவமைப்பாளர்,ஆண்கள்,பெண்கள்
புகைப்பட,சிறுவர்கள்,பெண்கள்
ஆசிரியர்,ஆண்களுக்கு,பெண்கள்
கண் சிகிச்சை,சகோதரர்கள்,சகோதரிகள்
millwright,மாமா,அத்தை
tradesperson,மாமாக்கள்,அத்தைகளுடன்
விற்பனை,மருமகன்,மருமகள்
கட்டமைப்பவர்,மைத்துனர்கள்,மருமகள்களுடன்
ரொட்டி சுடுபவர்,,
ஸ்மித்,,
மேலாளர்,,
புள்ளியியலாளர்,,
வாசற்படியில்,,
தடகள,,
வேலையாள்போல்,,
நடனமாடுபவர்,,
ஊட்டச்சத்து,,
தரகர்,,
typesetter,,
டிஎடிதியான்,,
நூலாசிரியர்,,
குமாஸ்தா,,
பொழுதுபோக்கு,,
பொருளாதார,,
boilermaker,,
cabinetmaker,,
அதிகாரி,,
கடத்தி,,
செவிலியர்,,
போர்ட்டர்,,
புக்பைண்டர்,,
வேதியியலாளர்,,
இன்ஸ்பெக்டர்,,
செயலாளர்,,
எழுத்தர்,,
சிகிச்சை,,
பேராசிரியர்,,
தொழில்நுட்பவியலாளர்,,
விற்பனையாளர்,,
வழக்கறிஞர்,,
உழவர்,,
மருத்துவர்,,
எலக்ட்ரீஷியன்,,
பணிப்பெண்ணாக,,
வாயிற்காவலர்,,
கடலோடி,,
நெசவாளர்,,
இசைக்கலைஞர்,,
waitstaff,,
நில அமைப்பியல் வல்லுனர்,,
செட்டர்,,
உளவியலாளர்,,
லும்பர்ஜேக்,,
வடிவமைப்பாளர்,,
பயிற்றுவிப்பாளராக,,
மருந்து,,
சாரதி,,
நீதிபதி,,
toolmaker,,
ஷெரிப்,,
நூலகர்,,
அறுவை,,
விஞ்ஞானி,,
நகைக்கடைக்கு,,
கம்போசிட்டர்,,
பொறியாளர்,,
தச்சன்,,
கலைஞர்,,
சிப்பாய்,,
கணக்காளர்,,
மத குருமார்கள்,,
ஓவியர்,,
செருப்புத்,,
பிளம்பராக,,
கொத்தனார்,,
சமையல்காரர்,,
draftsperson,,
newsperson,,
பைலட்,,
கரப்பொருத்தரான,,
நிர்வாகி,,
பல்,,
காவல்,,
தோட்டக்காரன்,,
இயக்கி,,
பணிப்பெண்,,
பாதுகாப்பு,,
வெல்டராக,,
