kazi,kiume,kike
daktari,yeye,yeye
daktari,mwana,binti
mfanyakazi,yake,hers
uhifadhi,yeye,yake
mtunzi,baba,mama
anayesimamia,mtu,mwanamke
mwendeshaji,mvulana,msichana
bartender,mwenyewe,mwenyewe
fundi,kiume,kike
mtafiti,kaka,dada
mwanafizikia,wana,mabinti
machinist,baba,mama
mbunifu,wanaume,wanawake
mpiga picha,wavulana,wasichana
mwalimu,wanaume,wanawake
daktari wa macho,ndugu,dada
millwright,mjomba,shangazi
mfanyabiashara,wajomba,shangazi
mauzo,mpwa,mpwa
upholsterer,wajukuu,ndugu
mkate,,
smith,,
Meneja,,
takwimu,,
mlinda mlango,,
mwanariadha,,
dhamana,,
dancer,,
lishe,,
broker,,
aina,,
lishe,,
mwandishi,,
karani,,
burudani,,
mchumi,,
mpiga boiler,,
baraza la mawaziri,,
rasmi,,
kondakta,,
muuguzi,,
porter,,
kitabu cha vitabu,,
duka la dawa,,
mhakiki,,
katibu,,
msaidizi,,
mtaalam,,
profesa,,
fundi,,
mauzo,,
Mwanasheria,,
mkulima,,
Daktari wa mifugo,,
umeme,,
mhudumu,,
msimamizi,,
baharia,,
weaver,,
mwanamuziki,,
watumishi,,
jiolojia,,
seti,,
mwanasaikolojia,,
mbao za mbao,,
mbuni,,
mwalimu,,
mfamasia,,
Playa,,
Hakimu,,
mmiliki wa zana,,
sheriff,,
maktaba,,
daktari wa watoto,,
mwanasayansi,,
vito,,
mtunzi,,
mhandisi,,
seremala,,
msanii,,
askari,,
mhasibu,,
makasisi,,
mchoraji,,
shoemaker,,
fundi,,
uashi,,
kupika,,
rasimu,,
habari,,
majaribio,,
chiropractor,,
msimamizi,,
Daktari wa meno,,
polisi,,
mtunza bustani,,
dereva,,
mfanyikazi wa nyumba,,
walinzi,,
welder,,
