иш,эркек,ургаачы
дарыгер,ал,ал
доктор,уул,кыз
жумушчу,анын,таандык
conservationist,анын,анын
кассир аял,Ата,эне
ээсиби,адам,аял
оператору,бала,кыз
бармен аял,өзү,өзү
механик,эркек,ургаачы
иликтөөчү,бир тууган,бир тууган
доктор,уулдары:,кыздары
механик,ата-бабаларыбыз,энелер
архитектор,эркектер,аялдар
сүрөтчү,балдар,кыздар
мугалим,эркек,сук
optometrist,Бир туугандар,эже-
Биздикиндей,аке,тай эже
tradesperson,Байкелерим,таежелери
сатуу,жээн,жээн
Upholsterer,жээндери,кыздары
нанчы аял,,
Смит,,
менеджер,,
статист,,
Кароолчу,,
атлет эркек,,
сот аткаруучу аял,,
бийчи аял,,
диетолог,,
брокер,,
typesetter,,
dietitian,,
жазуучу,,
клерк аял,,
"артист,",,
экономист,,
boilermaker,,
киреше,,
расмий,,
кондуктор аял,,
багуучу,,
жүк көтөрүүчү аял,,
Мукабач,,
химик аял,,
инспектор аял,,
катчысы,,
иш кагаздарын жүргүзүү,,
логопед,,
окутуучу,,
техник,,
сатуучу,,
юрист,,
чарбачы,,
ветеринар аял,,
электрик,,
катышуучу аял,,
дарбазачы,,
матрос,,
токуучу,,
музыкант аял,,
waitstaff,,
геолог,,
койгуч,,
психолог,,
Lumberjack,,
дизайнер аял,,
окутуучу аял,,
фармацевт аял,,
шыбакчы,,
сот,,
инструмент,,
Где же ты,,
китепканачы аял,,
хирург,,
илимпоз аял,,
зергер,,
Композитордун,,
инженер,,
жыгач уста,,
сүрөтчү аял,,
аскер,,
эсепчи эркек,,
диний кызматкерлер,,
сүрөтчү аял,,
Өтүкчү,,
тоноо,,
масон,,
ашпозчу аял,,
draftsperson,,
баардык,,
учкуч,,
сыныкчы,,
администратор,,
тиш доктур аял,,
полиция,,
бакчы аял.,,
айдоочу,,
уй,,
кайтаруу,,
ширетүүчү,,
