povolania,Muž,Žena
lekár,on,ona
lekár,syn,dcéra
robotník,jeho,jej
ochranca prírody,ho,jej
pokladničné,otec,matka
majiteľ,muž,žena
operátor,chlapec,dievča
barman,sám,ona sama
mechanik,Muž,Žena
zememerač,brat,sestra
fyzik,synovia,dcéry
strojník,otcovia,matiek
architekt,muži,ženy
fotograf,chlapci,dievčatá
učiteľ,muži,ženy
optometristu,bratia,sestry
millwright,strýko,teta
tradesperson,strýkovia,tety
odbyt,synovec,neter
čalúnnik,synovci,netere
Pekár,,
kováč,,
manažér,,
štatistík,,
vrátnik,,
športovec,,
exekútor,,
tanečník,,
výživu,,
maklér,,
sadzač,,
dietetika,,
autor,,
úradník,,
konferenciér,,
ekonóm,,
Boilermaker,,
stolár,,
úradné,,
vodič,,
zdravotná sestra,,
porter,,
knihár,,
chemik,,
inšpektor,,
sekretárka,,
kňazský,,
terapeut,,
profesor,,
technik,,
predajca,,
právnik,,
poľnohospodár,,
veterinár,,
elektrikár,,
strážca,,
školník,,
námorník,,
tkáč,,
hudobník,,
waitstaff,,
geológ,,
sadzač,,
psychológ,,
drevorubač,,
návrhár,,
inštruktor,,
lekárnik,,
štukatér,,
sudca,,
nástrojár,,
šerif,,
knihovník,,
chirurg,,
vedec,,
klenotník,,
sadzač,,
inžinier,,
tesár,,
umelec,,
vojak,,
účtovný,,
duchovenstvo,,
maliar,,
obuvník,,
inštalatér,,
murár,,
kuchár,,
navrhovateľ,,
newsperson,,
pilot,,
chiropraktik,,
správca,,
zubár,,
polícia,,
záhradník,,
vodič,,
gazdiná,,
stráž,,
zvárač,,
