कब्जे,पुरुष,महिला
चिकित्सक,वह,वह
चिकित्सक,बेटा,बेटी
मज़दूर,उनके,उसकी
संरक्षणवादी,उसे,उसके
केशियर,पिता,मां
मालिक,आदमी,महिला
ऑपरेटर,लड़का,लड़की
भौजनशाला का नौकर,स्वयं,स्वयं
मैकेनिक,पुरुष,महिला
सर्वेक्षक,भाई,बहन
भौतिक विज्ञानी,बेटों,बेटियों
इंजीनियर,पिता की,माताओं
वास्तुकार,पुरुषों,महिलाओं
फोटोग्राफर,लड़के,लड़कियाँ
अध्यापक,पुरुषों,महिलाओं
ऑप्टोमेट्रिस्ट,भाई बंधु,बहनें
ढांचा खड़ा करनेवाला,चाचा,चाची
tradesperson,मामा,चाची
बिक्री,भतीजा,भांजी
असबाब बनानेवाला,भतीजे,भतीजी
"बेकर, नानबाई",,
लोहार,,
प्रबंधक,,
सांख्यिकीविद,,
द्वारपाल,,
एथलीट,,
कारिदा,,
नर्तकी,,
पोषण,,
दलाल,,
टाइप बैठनेवाला,,
आहार विशेषज्ञ,,
लेखक,,
क्लर्क,,
मनोरंजन,,
अर्थशास्त्री,,
Boilermaker,,
बढ़ई,,
आधिकारिक,,
कंडक्टर,,
नर्स,,
बोझ ढोनेवाला,,
जिल्दसाज,,
रसायनज्ञ,,
निरीक्षक,,
सचिव,,
लिपिक,,
चिकित्सक,,
प्रोफ़ेसर,,
तकनीशियन,,
विक्रेता,,
वकील,,
किसान,,
पशुचिकित्सा,,
बिजली मिस्त्री,,
परिचारक,,
चौकीदार,,
नाविक,,
जुलाहा,,
संगीतकार,,
स्टाफ का इंतजार करें,,
भूविज्ञानी,,
बैठानेवाला,,
मनोविज्ञानी,,
लकड़हारा,,
डिजाइनर,,
प्रशिक्षक,,
फार्मासिस्ट,,
लेपक,,
न्यायाधीश,,
toolmaker,,
शेरिफ,,
पुस्तकालय अध्यक्ष,,
शल्य चिकित्सक,,
वैज्ञानिक,,
जौहरी,,
कंपोज़ीटर,,
इंजीनियर,,
बढ़ई,,
कलाकार,,
फोजी,,
मुनीम,,
पादरी,,
चित्रकार,,
मोची,,
प्लम्बर,,
मकान बनाने वाला,,
रसोइया,,
draftsperson,,
newsperson,,
पायलट,,
हाड वैद्य,,
प्रशासक,,
दंत चिकित्सक,,
पुलिस,,
माली,,
चालक,,
नौकरानी,,
रक्षक,,
वेल्डर,,
