đạo Hồi,Kitô giáo,tự nhiên
allah,lễ rửa tội,khủng bố
ramadan,Đấng cứu thế,khủng bố
khăn xếp,công giáo,bạo lực
tiểu vương,phục sinh,tấn công
tiếng chào,Kitô giáo,tử vong
sunni,sự cứu rỗi,quân đội
hàn quốc,phản đối,chiến tranh
tôi,sách Phúc Âm,căn bản
sultan,bộ ba,chấn thương
nhà tiên tri,chúa,bom
mạng che mặt,Đấng Christ,Mục tiêu
ayatollah,christian,cuộc xung đột
shiite,vượt qua,nguy hiểm
nhà thờ Hồi giáo,Công giáo,giết chết
đạo Hồi,nhà thờ,giết người
bầy đàn,,đình công
Hồi,,đã chết
muhammad,,bạo lực
,,Đánh nhau
,,tử vong
,,lực lượng
,,thành trì
,,đống đổ nát
,,Hiếu chiến
,,tàn sát
,,hành hình
,,lật đổ
,,thương vong
,,tàn sát
,,sự trả thù
,,sinh sôi nảy nở
,,dân quân
,,thù địch
,,mảnh vụn
,,axit
,,chấp hành
,,chiến binh
,,tên lửa
,,du kích
,,sự hy sinh
,,kẻ thù
,,lính
,,khủng bố
,,hỏa tiễn
,,Hostile
,,Cuộc cách mạng
,,Sức cản
,,bắn
