okkupazzjoni,raġel,femminili
tabib,hu,ha
tabib,iben,tifla
ħaddiem,tiegħu,tagħha
konservazzjonist,lilu,tagħha
kaxxier,missier,omm
proprjetarju,raġel,mara
operatur,tifel,tifla
barman,innifsu,lilha nfisha
mekkaniku,raġel,femminili
servejier,ħuh,oħti
fiżiċista,uliedu,ibniet
makkinarju,missirijiet,ommijiet
perit,irġiel,nisa
fotografu,subien,bniet
għalliem,irġiel,nisa
optometristi,aħwa,sorijiet
millwright,iz-ziju,zija
negozjant,zijiet,zija
bejgħ,in-neputi,in-neputija
tapizzier,in-neputijiet,in-neputijiet
furnar,,
smith,,
maniġer,,
statistiku,,
gwardjan tal-bibien,,
atleta,,
marixxall,,
żeffien,,
nutrizzjonista,,
sensar,,
typeetter,,
dietista,,
awtur,,
skrivan,,
spettaklu,,
ekonomista,,
bojler,,
gabinett,,
uffiċjal,,
konduttur,,
infermiera,,
gowler,,
bookbinder,,
spiżjara,,
spettur,,
segretarju,,
klerikali,,
terapista,,
professur,,
tekniku,,
bejjiegħ,,
Avukat,,
bidwi,,
veterinarju,,
elettriċista,,
akkompanjatur,,
gwardjan,,
baħri,,
nissiel,,
mużiċist,,
wejtelha,,
ġeologu,,
setter,,
psikologu,,
injam tal-injam,,
disinjatur,,
għalliem,,
spiżjar,,
ġibs,,
imħallef,,
produttur tal-għodda,,
Xeriff,,
librar,,
kirurgu,,
xjentist,,
ġojjellier,,
kompożitur,,
inġinier,,
mastrudaxxa,,
artist,,
suldat,,
accountant,,
kleru,,
pittur,,
shoemaker,,
plamer,,
ġebel,,
kok,,
Rapporteur għal opinjoni,,
ġurnalista,,
pilota,,
chiropractor,,
amministratur,,
dentist,,
pulizija,,
ġardinar,,
xufier,,
housekeeper,,
gwardja,,
welder,,
