занимање,Мушки,Женско
љекар,он,она
докторе,сине,ћерка
радник,његов,њен
конзерватора,њега,њеној
благајна,отац,мајке
власник,човек,жена
оператера,дечко,девојка
бармен,себе,она сама
механичар,Мушки,Женско
геодет,брате,сестра
физичар,синови,кћери
бравар,очеви,мајке
архитекта,мушкарци,Жене
фотограф,децаци,девојке
учитељ,мужјаци,жене
оптометрист,браћа,сестре
миллвригхт,стриц,тетка
трговац,ујака,тетке
продаја,нећак,нећакиња
тапацирање,нећаци,нећаке
пекар,,
Смитх,,
менаџер,,
статистичар,,
вратар,,
Атлета,,
судски извршитељ,,
плесач,,
нутрициониста,,
Брокер,,
уписивач,,
дијететичар,,
аутор,,
службениче,,
забављач,,
економиста,,
произвођач бојлера,,
столар,,
званичник,,
проводник,,
медицинска сестра,,
портир,,
увезивање књига,,
хемичар,,
инспекторе,,
секретар,,
свештенички,,
терапеут,,
професор,,
техничар,,
продавац,,
адвокат,,
земљорадник,,
ветеринар,,
електричар,,
полазник,,
домар,,
морнар,,
ткач,,
музичар,,
конобарица,,
геолог,,
сеттер,,
психолог,,
дрвосјеча,,
дизајнер,,
инструктор,,
фармацеут,,
жбука,,
судија,,
алатка,,
шерифе,,
библиотекар,,
хирург,,
научнику,,
драгуљар,,
композитор,,
инжењер,,
столар,,
уметник,,
војник,,
рачуновођа,,
свештенство,,
сликар,,
обућара,,
водоинсталатер,,
зидар,,
кувати,,
цртач,,
невсперсон,,
пилот,,
киропрактор,,
администратор,,
стоматолог,,
полиција,,
баштован,,
возач,,
Кућна помоћница,,
чувар,,
заваривач,,
