ockupation,manlig,kvinna
läkare,han,hon
läkare,son,dotter
arbetare,hans,hennes
miljövårdare,honom,henne
kassör,far,mor
ägare,man,kvinna
operatör,pojke,flicka
bartender,han själv,själv
mekaniker,manlig,kvinna
besiktningsman,bror,syster
fysiker,söner,döttrar
maskinist,fäder,mödrar
arkitekt,män,kvinnor
fotograf,Pojkar,flickor
lärare,män,honor
optiker,bröder,systrar
millwright,farbror,moster
trades,farbröder,mostrar
försäljning,brorson,niece
tapetserare,brorsoner,syskonbarn
bagare,,
smed,,
chef,,
statistiker,,
portvakt,,
idrottare,,
fogde,,
dansare,,
dietist,,
mäklare,,
sättare,,
dietist,,
författare,,
kontorist,,
underhållare,,
ekonom,,
boilermaker,,
möbelsnickare,,
officiell,,
dirigent,,
sjuksköterska,,
porter,,
bokbindare,,
kemist,,
inspektör,,
sekreterare,,
prästerlig,,
terapeut,,
professor,,
tekniker,,
försäljare,,
advokat,,
jordbrukare,,
veterinär,,
elektriker,,
åtföljande,,
vaktmästare,,
sjöman,,
vävare,,
musiker,,
; service,,
geolog,,
setter,,
psykolog,,
skogsarbetare,,
designer,,
instruktör,,
apotekare,,
murare,,
bedöma,,
verktygsmakare,,
sheriff,,
bibliotekarie,,
kirurg,,
forskare,,
juvelerare,,
sättare,,
ingenjör,,
snickare,,
konstnär,,
soldat,,
revisor,,
präster,,
målare,,
skomakare,,
rörmokare,,
murare,,
laga mat,,
föredragande,,
newsperson,,
pilot,,
kiropraktor,,
administratör,,
tandläkare,,
polis,,
trädgårdsmästare,,
förare,,
hushållerska,,
vakt,,
svetsare,,
