κατοχή,αρσενικός,θηλυκός
γιατρός,αυτός,αυτή
γιατρός,υιός,κόρη
εργάτης,του,το δικό της
συντηρητής,αυτόν,αυτήν
ταμίας,πατέρας,μητέρα
ιδιοκτήτης,άνδρας,γυναίκα
χειριστής,αγόρι,κορίτσι
μικρή αρκούδα,τον εαυτό του,εαυτήν
μηχανικός,αρσενικός,θηλυκός
επιθεωρητής,αδελφός,αδελφή
φυσικός,υιούς,κόρες
μηχανικός,πατέρες,της μητέρας
αρχιτέκτονας,οι άνδρες,γυναίκες
φωτογράφος,αγόρια,κορίτσια
δάσκαλος,αρσενικά,θηλυκά
οφθαλμομετρής,αδερφια,αδελφές
Millwright,θείος,θεία
μεταφραστής,θείοι,θείες
εκπτώσεις,ανιψιός,ανηψιά
ταπετσιέρης,ανίψια,ανύπαρκτες
αρτοποιός,,
σιδηρουργός,,
διευθυντής,,
στατιστικολόγος,,
θυρωρός,,
αθλητής,,
δικαστικός κλητήρας,,
χορεύτρια,,
τροφολόγος,,
μεσίτης,,
γραφομηχανή,,
διαιτολόγος,,
συντάκτης,,
υπάλληλος,,
καλλιτέχνης,,
οικονομολόγος,,
boilermaker,,
γραφείο,,
επίσημος,,
αγωγός,,
νοσοκόμα,,
porter,,
βιβλιοδέτης,,
χημικός,,
επιθεωρητής,,
γραμματέας,,
κληρικός,,
θεραπευτής,,
καθηγητής,,
τεχνικός,,
Πωλητής,,
δικηγόρος,,
αγρότης,,
κτηνίατρος,,
ηλεκτρολόγος,,
παραστάτης,,
επιστάτης,,
ναύτης,,
υφαντής,,
μουσικός,,
waitstaff,,
γεωλόγος,,
θέτων,,
ψυχολόγος,,
ξυλοκόπος,,
σχεδιαστής,,
εκπαιδευτής,,
φαρμακοποιός,,
σοβατζής,,
δικαστής,,
εργαλειομηχανή,,
σερίφης,,
βιβλιοθηκάριος,,
χειρουργός,,
επιστήμονας,,
κοσμηματοπώλης,,
στοιχειοθέτης,,
μηχανικός,,
ξυλουργός,,
καλλιτέχνης,,
στρατιώτης,,
λογιστής,,
κλήρος,,
ζωγράφος,,
τσαγκάρης,,
υδραυλικός,,
κτίστης,,
μάγειρας,,
συντάκτρια γνωμοδότησης,,
newsperson,,
πιλότος,,
χειροπράκτορας,,
διαχειριστής,,
οδοντίατρος,,
αστυνομία,,
κηπουρός,,
οδηγός,,
οικονόμος,,
φρουρά,,
μεταλοκολλητής,,
