pendhudhukan,lanang,wadon
dokter,dheweke,dheweke
dhokter,putra,putri
buruh,pak,duweke
konservasi,wong,dheweke
kasir,bapak,ibu
proprietor,wong lanang,wong wadon
operator,bocah lanang,prawan
bartender,awake dhewe,awake dhewe
mekanik,lanang,wadon
juruukur,sedulur,adhine
fisikawan,putra,putri
machinist,bapak-bapak,ibu-ibu
arsitek,pria,para wanita
fotografer,lanang,bocah-bocah wadon
guru,lanang,Badhak wadon
optometris,sedulur,sadulur
millwright,paman,lik
pedagang,paman,lik
dodolan,keponakan lanang,keponakan
upholsterer,keponakan lanang,nieces
tukang roti,,
smith,,
manager,,
statistik,,
penjaga lawang,,
atlit,,
bailiff,,
penari,,
ahli nutrisi,,
maklar,,
ketik,,
ahli diet,,
pengarang,,
juru tulis,,
panglipur,,
ekonomi,,
boilermaker,,
kabinèt,,
pejabat,,
kondektur,,
perawat,,
porter,,
bookbinder,,
kimiawan,,
inspektur,,
sekretaris,,
clerical,,
ahli terapi,,
profesor,,
teknisi,,
salesperson,,
pengacara,,
petani,,
dokter kewan,,
juru listrik,,
rencang,,
janitor,,
pelaut,,
tenun,,
musisi,,
waitstaff,,
geologi,,
setter,,
psikolog,,
tukang kayu,,
desainer,,
guru,,
apoteker,,
plesterer,,
ngadili,,
alat,,
sheriff,,
pustakawan,,
ahli bedah,,
ilmuwan,,
tukang emas,,
komposit,,
engineer,,
tukang,,
artis,,
prajurit,,
akuntan,,
pendeta,,
pelukis,,
tukang ngapusi,,
tukang kayu,,
mason,,
masak,,
tukang daptar,,
wartawan,,
sing nyetir pesawat,,
chiropractor,,
administrator,,
dokter gigi,,
pulisi,,
tukang kebon,,
sopir,,
wong omah,,
penjaga,,
welder,,
