shaqo,lab,dhedig
dhaqtarka,isagu,iyada
dhakhtar,wiil,gabar
shaqaale,uu,heys
ilaaliye,isaga,iyada
khasnaji,aabe,hooyo
milkiile,nin,naag
hawl wadeen,wiil,gabadh
Badeecad,Naftiisa,nafteeda
makaanik,lab,dhedig
sahamin,walaal,walaasha
fiisikiska,wiilasha,gabdhaha
farsameeyaha,Aabayaal,hooyooyinka
naqshadeeye,ragga,haweenka
sawir qaade,wiilasha,gabdhaha
macallin,lab,dhedig
indhaha,walaalo,walaalo
miyuusig,adeer,eedo
ganacsade,abtiga,adeer
iibka,adeer,adeer
upholsterer,adeer,abti
rootida,,
smith,,
maamulaha,,
tirakoobka,,
albaab-ilaaliyaha,,
orodyahan,,
miis fadhiya,,
dhaanto,,
nafaqo yaqaan,,
dillaaliin,,
nooc nooc ah,,
nafaqo yaqaan,,
qoraa,,
karraaniga,,
madadaalo,,
dhaqaaleyahan,,
mashiinka qalabka lagu isticmaalo,,
golaha wasiirada,,
rasmi ah,,
hage,,
kalkaaliye caafimaad,,
xamaali,,
buug-haye,,
farmashiistaha,,
kormeere,,
xoghaye,,
wadaadka,,
daaweeyaha,,
borofisar,,
farsamo yaqaan,,
iibiye,,
Garyaqaan,,
Beeraley,,
dhakhtarka xoolaha,,
koronto yaqaan,,
adeege,,
waardiye,,
badmaax,,
xariir,,
muusikiiste,,
Sugstaff,,
cilmiga cilmiga dhulka,,
dejiye,,
cilmu-nafsi,,
lumberjack,,
naqshadeeye,,
Macallin,,
farmashiistaha,,
plasterer,,
xukumaan,,
qalab sameeye,,
sheriff,,
laybareeriga,,
dhakhtar qalliin,,
saynisyahan,,
dahabka,,
curiyaha,,
injineer,,
nijaar,,
fanaaniinta,,
askari,,
xisaabiye,,
wadaad,,
rinjiye,,
dameeyaha,,
tuubiste,,
mason,,
kariye,,
qoraa,,
wariyaha,,
pilot,,
loo yaqaan 'chiropractor',,
maamulaha,,
dhakhtarka ilkaha,,
booliska,,
beerta,,
darawalka,,
shaqaalaha guriga,,
ilaali,,
welder,,
