кәсібі,еркек,әйел
дәрігер,ол,ол
дәрігер,ұлы,қызы
жұмысшы,оның,оның
табиғатты қорғаушы,оны,оны
кассир,әке,анасы
меншік иесі,адам,әйел
операторы,бала,қыз
бармен,өзі,өзі
механик,еркек,әйел
маркшейдер,ағасы,апа
физик,ұлдары,қыздары
машинист,әкелер,аналар
сәулетші,ер адамдар,әйелдер
фотограф,ұлдар,қыздар
мұғалім,еркектер,аналық
оптометрист,бауырлар,әпкелер
диірменші,ағасы,тәтем
сатушы,ағалары,тәтелер
сату,жиен,жиен
тіреуіш,жиендер,жиендер
наубайшы,,
шебері,,
менеджер,,
статист,,
есікші,,
спортшы,,
сот приставы,,
биші,,
диетолог,,
брокер,,
типтер,,
диетолог,,
авторы,,
қызметкер,,
ойын-сауық,,
экономист,,
қазандық,,
шкаф жасаушы,,
ресми,,
өткізгіш,,
медбике,,
жүкші,,
кітап сөресі,,
химик,,
инспектор,,
хатшы,,
іс жүргізу,,
терапевт,,
профессор,,
техник,,
Сатушы,,
заңгер,,
фермер,,
мал дәрігері,,
электрик,,
қызметші,,
тазалаушы,,
матрос,,
тоқушы,,
музыкант,,
даяшы,,
геолог,,
баптаушы,,
психолог,,
ағаш қоймасы,,
дизайнер,,
нұсқаушы,,
фармацевт,,
сылақшы,,
судья,,
құрал жасаушы,,
шериф,,
кітапханашы,,
хирург,,
ғалым,,
зергер,,
композитор,,
инженер,,
ағаш ұстасы,,
әртіс,,
жауынгер,,
есепші,,
дінбасылар,,
суретші,,
етікші,,
сантехник,,
масон,,
аспазшы,,
шеберлер,,
жаңа адам,,
ұшқыш,,
хиропрактор,,
әкімші,,
тіс дәрігері,,
полиция,,
бағбан,,
жүргізуші,,
үй қызметкері,,
күзетші,,
дәнекерлеуші,,
