bezetting,mannetje,vrouw
arts,hij,zij
dokter,zoon,dochter
arbeider,zijn,de hare
natuurbeschermer,hem,haar
Kassa,vader,moeder
eigenaar,Mens,vrouw
operator,jongen,meisje
barman,zichzelf,haarzelf
monteur,mannetje,vrouw
landmeter,broer,zus
natuurkundige,zonen,dochters
machinist,vaders,moeders
architect,mannen,Dames
fotograaf,jongens,meisjes
leraar,mannetjes,vrouwtjes
optometrist,broers,zusters
molenbouwer,oom,tante
tradesperson,ooms,tantes
verkoop,neef,nicht
stoffeerder,neven,nichtjes
bakker,,
smid,,
manager,,
statisticus,,
portier,,
atleet,,
deurwaarder,,
danser,,
voedingsdeskundige,,
makelaar,,
zetter,,
diëtist,,
auteur,,
klerk,,
entertainer,,
econoom,,
boilermaker,,
meubelmaker,,
officieel,,
geleider,,
verpleegster,,
portier,,
boekbinder,,
scheikundige,,
inspecteur,,
secretaris,,
klerikaal,,
arts,,
professor,,
technicus,,
verkoper,,
advocaat,,
boer,,
dierenarts,,
elektricien,,
begeleider,,
conciërge,,
matroos,,
wever,,
musicus,,
bediening,,
geoloog,,
setter,,
psycholoog,,
houthakker,,
ontwerper,,
instructeur,,
apotheker,,
stukadoor,,
rechter,,
toolmaker,,
sheriff,,
bibliothecaris,,
chirurg,,
wetenschapper,,
juwelier,,
letterzetter,,
ingenieur,,
timmerman,,
artiest,,
soldaat,,
accountant,,
geestelijkheid,,
schilder,,
schoenmaker,,
loodgieter,,
metselaar,,
koken,,
rapporteur,,
newsperson,,
piloot,,
chiropraxie,,
beheerder,,
tandarts,,
Politie,,
tuinman,,
bestuurder,,
huishoudster,,
bewaker,,
lasser,,
