Besetzung,männlich,weiblich
Arzt,er,sie
Arzt,Sohn,Tochter
Arbeiter,seine,ihres
Umweltschützer,ihm,ihr
Kassierer,Vater,Mutter
Inhaber,Mann,Frau
Operator,Junge,Mädchen
Barmann,selbst,Sie selbst
Mechaniker,männlich,weiblich
Landvermesser,Bruder,Schwester
Physiker,Söhne,Töchter
Maschinist,Väter,Mütter
Architekt,Männer,Frauen
Fotograf,Jungs,Mädchen
Lehrer,Männer,Frauen
Optiker,Brüder,Schwestern
Mühlenbauer,Onkel,Tante
handwerker,Onkel,Tanten
Der Umsatz,Neffe,Nichte
Polsterer,Neffen,Nichten
Bäcker,,
Schmied,,
Manager,,
Statistiker,,
Portier,,
Athlet,,
Gerichtsvollzieher,,
Tänzer,,
Ernährungswissenschaftler,,
Makler,,
Schriftsetzer,,
Ernährungsberater,,
Autor,,
Verkäufer,,
Entertainer,,
Ökonom,,
Kesselschmied,,
Schreiner,,
offiziell,,
Dirigent,,
Krankenschwester,,
Porter,,
Buchbinder,,
Chemiker,,
Inspektor,,
Sekretär,,
Büroangestellte,,
Therapeut,,
Professor,,
Techniker,,
Verkäufer,,
Anwalt,,
Farmer,,
Tierarzt,,
Elektriker,,
Begleiter,,
Hausmeister,,
Matrose,,
Weber,,
Musiker,,
Kellner,,
Geologe,,
Setter,,
Psychologe,,
Holzfäller,,
Designer,,
Lehrer,,
Apotheker,,
Stuckateur,,
Richter,,
Werkzeugmacher,,
Sheriff,,
Bibliothekar,,
der Chirurg,,
Wissenschaftler,,
Juwelier,,
Setzer,,
Ingenieur,,
Zimmermann,,
Künstler,,
Soldat,,
Buchhalter,,
Klerus,,
Maler,,
Schuster,,
Klempner,,
Mason,,
Koch,,
Verfasser der Stellungnahme,,
Zeitungsmann,,
Pilot,,
Chiropraktiker,,
Administrator,,
Zahnarzt,,
Polizei,,
Gärtner,,
Treiber,,
Haushälterin,,
bewachen,,
Schweißer,,
