okupacija,muški,žena
liječnik,on,ona
liječnik,sin,kći
radnik,njegov,njen
konzervator,mu,nju
blagajnik,otac,majka
vlasnik,čovjek,žena
operater,dječak,djevojka
barmen,sam,ona sama
mehaničar,muški,žena
geometar,brat,sestra
fizičar,sinovi,kćeri
mahaničar,oci,majke
arhitekt,muškarci,žene
fotograf,dječaci,djevojke
"učitelj, nastavnik, profesor",muškarci,ženke
optometrista,braća,sestre
graditelj mlina,ujak,tetka
tradesperson,stričevi,tete
prodajni,nećak,nećakinja
tapetar,nećaka,nećakinje
pekar,,
kovač,,
menadžer,,
statističar,,
vratar,,
atletičar,,
sudski izvršitelj,,
plesač,,
nutricionista,,
posrednik,,
slagač,,
dijetetičar,,
Autor,,
službenik,,
zabavljač,,
ekonomista,,
boilermaker,,
stolar,,
službeno,,
dirigent,,
medicinska sestra,,
nosač,,
knjigovezac,,
kemičar,,
inspektor,,
tajnica,,
svećenički,,
terapeut,,
profesor,,
tehničar,,
prodavač,,
odvjetnik,,
seljak,,
veterinar,,
električar,,
čuvar,,
domar,,
mornar,,
tkalac,,
glazbenik,,
čekati osoblje,,
geolog,,
seter,,
psiholog,,
drvosječa,,
dizajner,,
instruktor,,
farmaceut,,
fasader,,
suditi,,
alatničar,,
šerif,,
bibliotekar,,
kirurg,,
naučnik,,
zlatar,,
slovoslagač,,
inženjer,,
stolar,,
umjetnik,,
vojnik,,
računovođa,,
kler,,
slikar,,
postolar,,
vodoinstalater,,
zidar,,
kuhati,,
draftsperson,,
newsperson,,
pilot,,
kiropraktor,,
administrator,,
stomatolog,,
policija,,
baštovan,,
vozač,,
domaćin,,
straža,,
zavarivač,,
