okupado,vira,ino
kuracisto,li,ŝi
kuracisto,filo,filino
laboranto,lia,sia
konservativisto,lin,ŝia
kasisto,patro,patrino
proprietulo,viro,virino
telefonisto,knabo,knabino
baristo,li mem,ŝi mem
mekanikisto,vira,ino
esploristo,frato,fratino
fizikisto,filoj,filinoj
maŝinisto,patroj,patrinoj
arkitekto,viroj,virinoj
fotisto,knaboj,knabinoj
instruisto,maskloj,inoj
optometristo,fratoj,fratinoj
milwright,onklo,onklino
komercisto,onkloj,onklinoj
vendoj,nevo,nevino
tapicisto,nevoj,nevinoj
bakisto,,
forĝisto,,
direktisto,,
statistikisto,,
pordisto,,
atleto,,
alguacil,,
dancisto,,
nutristiisto,,
makleristo,,
tajpilo,,
dietisto,,
aŭtoro,,
komizo,,
amuzisto,,
ekonomikisto,,
kaldronisto,,
kabinetisto,,
oficiala,,
kondukisto,,
flegistino,,
portisto,,
legilo,,
istemiisto,,
inspektisto,,
sekretario,,
klerika,,
terapiisto,,
profesoro,,
teknikisto,,
vendisto,,
advokato,,
kamparano,,
bestkuracisto,,
elektristo,,
asistanto,,
gardejo,,
maristo,,
teksisto,,
muzikisto,,
atendovico,,
geologo,,
fiksilo,,
psikologo,,
lignotabulo,,
desegnisto,,
instruisto,,
apotekisto,,
pladisto,,
juĝisto,,
ilo-fabrikisto,,
ŝerifo,,
bibliotekisto,,
kirurgo,,
sciencisto,,
juvelisto,,
komponisto,,
inĝeniero,,
lignaĵisto,,
artisto,,
soldato,,
librotenisto,,
pastraro,,
farbisto,,
ŝuisto,,
fontano,,
masonisto,,
kuiristo,,
projektisto,,
raportisto,,
piloto,,
kiropractoro,,
administranto,,
dentisto,,
polico,,
ĝardenisto,,
ŝoforo,,
domposedanto,,
gardisto,,
veldilo,,
