ოკუპაცია,მამრობითი,ქალი
ექიმი,ის,ის
ექიმი,შვილო,ქალიშვილი
მშრომელი,მისი,მისი
კონსერვატორი,მას,მისი
მოლარე,მამა,დედა
მესაკუთრე,კაცი,ქალი
ოპერატორი,ბიჭო,გოგო
ბარმენი,თვითონ,თვითონ
მექანიკოსი,მამრობითი,ქალი
გეოგრაფი,ძმაო,და
ფიზიკოსი,ვაჟები,ქალიშვილები
მაქინალისტი,მამები,დედები
არქიტექტორი,კაცები,ქალები
ფოტოგრაფი,ბიჭები,გოგოები
მასწავლებელი,მამაკაცი,ქალი
ოპტომეტრისტი,ძმები,დები
millwright,ბიძა,დეიდა
მოვაჭრე,ბიძები,დეიდა
გაყიდვების,ძმისშვილი,დისშვილი
upholsterer,ძმისშვილები,ძმისწულები
მცხობელი,,
სმიტი,,
მენეჯერი,,
სტატისტიკოსი,,
კარისკაცი,,
სპორტსმენი,,
აღმასრულებელი,,
მოცეკვავე,,
მეწარმე,,
ბროკერი,,
დამწერლობა,,
დიეტოლოგი,,
ავტორი,,
კლერკი,,
გასართობი,,
ეკონომისტი,,
ქვაბი,,
კაბინეტის შემქმნელი,,
ოფიციალური,,
დირიჟორი,,
მედდა,,
პორტერი,,
წიგნის დამაბნია,,
ქიმიკოსი,,
ინსპექტორი,,
მდივანი,,
სასულიერო,,
თერაპევტი,,
პროფესორი,,
ტექნიკოსი,,
გამყიდველი,,
ადვოკატი,,
ფერმერი,,
ვეტერინარი,,
ელექტრიკოსი,,
დამსწრე,,
მეკარე,,
მეზღვაური,,
weaver,,
მუსიკოსი,,
ვიტრაჟი,,
გეოლოგი,,
სეტერი,,
ფსიქოლოგი,,
ხისტი,,
დიზაინერი,,
ინსტრუქტორი,,
ფარმაცევტი,,
პლასტერი,,
მოსამართლე,,
ხელსაწყოს შემქმნელი,,
შერიფი,,
ბიბლიოთეკარი,,
ქირურგი,,
მეცნიერი,,
საიუველირო,,
კომპოზიტორი,,
ინჟინერი,,
დურგალი,,
მხატვარი,,
ჯარისკაცი,,
ბუღალტერი,,
სასულიერო პირები,,
მხატვარი,,
ფეხსაცმლის შემქმნელი,,
სანტექნიკა,,
მეისონი,,
მზარეული,,
შემსრულებელი,,
ჟურნალისტი,,
მფრინავი,,
ქიროპრაქტორი,,
ადმინისტრატორი,,
სტომატოლოგი,,
პოლიცია,,
მებაღე,,
მძღოლი,,
დიასახლისი,,
მცველი,,
შემდუღებელი,,
