okupazioa,gizonezkoa,emakumezkoak
medikuak,he,zuen
medikua,son,alaba
jornalero,haren,berea
conservationist,zion,bere
kutxazainak,aita,ama
jabeak,gizon,emakume
operadorea,mutil,neska
bartender,bere burua,bere burua
mekanikari,gizonezkoa,emakumezkoak
Surveyor,anaia,arreba
fisikari,seme,alabak
machinist,aiten,amak
arkitektoak,gizonen,emakumeen
argazkilari,mutilen,neskak
irakasle,gizonezkoak,emakumezkoen
optometrist,anaiak,arrebak
millwright,osaba,izeba
tradesperson,osaba,izebak
salmenten,iloba,ilobaren
upholsterer,ilobak,ilobak
okina,,
smith,,
kudeatzailea,,
estatistikari,,
atezain,,
atleta,,
bailiff,,
dantzaria,,
elikaduran,,
Agente,,
Konposaketako,,
dietitian,,
egileak,,
administrari,,
Entertainer,,
ekonomista,,
boilermaker,,
ebanista,,
ofiziala,,
conductor,,
erizaina,,
atezain,,
enkuadernatzailea,,
kimikari,,
inspector,,
idazkari,,
clerical,,
terapeuta,,
irakasle,,
teknikariak,,
salesperson,,
abokatu,,
Baserritarrak,,
albaitari,,
electrician,,
attendant,,
janitor,,
marinel,,
WEAVER,,
musikari,,
waitstaff,,
geologo,,
setter,,
psikologo,,
lumberjack,,
diseinatzaile,,
monitore,,
Botikari,,
plasterer,,
epaileak,,
toolmaker,,
sheriff,,
liburuzainak,,
zirujau,,
zientzialari,,
bitxigile,,
compositor,,
ingeniaria,,
arotz,,
artistaren,,
soldadu,,
kontulari,,
kleroaren,,
margolari,,
zapatari,,
Algortako,,
hargin,,
sukaldari,,
draftsperson,,
newsperson,,
pilotu,,
chiropractor,,
administrator,,
dentista,,
poliziaren,,
lorazaina,,
gidari,,
Agencia,,
guardia,,
soldatzailea,,
