zawód,męski,Płeć żeńska
Lekarz,on,Ona
lekarz,syn,córka
robotnik,jego,jej
konserwatysta,mu,jej
kasjer,ojciec,mama
właściciel,mężczyzna,kobieta
operator,chłopak,dziewczyna
barman,samego siebie,się
mechanik,męski,Płeć żeńska
inspektor,brat,siostra
fizyk,synowie,córki
mechanik,ojcowie,matki
architekt,mężczyźni,kobiety
fotograf,chłopcy,dziewczyny
nauczyciel,mężczyźni,kobiety
optometrysta,bracia,siostry
millwright,wujek,ciotka
handlowiec,wujkowie,ciotki
obroty,bratanek,siostrzenica
tapicer,siostrzeńcy,siostrzenice
piekarz,,
kowal,,
menedżer,,
statystyk,,
odźwierny,,
sportowiec,,
komornik,,
tancerz,,
specjalista od żywienia,,
pośrednik,,
zecer,,
dietetyk,,
autor,,
urzędnik,,
komik,,
ekonomista,,
kocioł,,
stolarz meblowy,,
urzędnik,,
konduktor,,
pielęgniarka,,
porter,,
introligator,,
chemik,,
inspektor,,
sekretarz,,
urzędniczy,,
terapeuta,,
profesor,,
technik,,
sprzedawca,,
prawnik,,
rolnik,,
lekarz weterynarii,,
elektryk,,
obsługujący,,
dozorca,,
marynarz,,
tkacz,,
muzyk,,
kelnerzy,,
geolog,,
seter,,
psycholog,,
drwal,,
projektant,,
instruktor,,
farmaceuta,,
tynkarz,,
sędzia,,
narzędziowiec,,
szeryf,,
bibliotekarz,,
chirurg,,
naukowiec,,
jubiler,,
składacz,,
inżynier,,
Cieśla,,
artysta,,
żołnierz,,
księgowy,,
kler,,
malarz,,
szewc,,
hydraulik,,
mason,,
gotować,,
sprawozdawca komisji opiniodawczej,,
gazeta,,
pilot,,
kręgarz,,
administrator,,
dentysta,,
Policja,,
ogrodnik,,
kierowca,,
gospodyni domowa,,
strzec,,
spawacz,,
