ocupação,masculino,fêmea
médico,ele,ela
médico,filho,filha
trabalhador,dele,dela
conservacionista,ele,dela
caixa,pai,mãe
proprietário,homem,mulher
operador,Garoto,menina
barman,ele mesmo,ela mesma
mecânico,masculino,fêmea
agrimensor,irmão,irmã
físico,filhos,filhas
maquinista,pais,mães
arquiteto,homens,mulheres
fotógrafo,Rapazes,meninas
professor,machos,fêmeas
optometrista,irmãos,irmãs
Montador de máquinas,tio,tia
comerciante,tios,tias
vendas,sobrinho,sobrinha
estofador,sobrinhos,sobrinhas
padeiro,,
ferreiro,,
Gerente,,
estatístico,,
porteiro,,
atleta,,
oficial de justiça,,
dançarino,,
nutricionista,,
corretor,,
tipógrafo,,
dietista,,
autor,,
escriturário,,
artista,,
economista,,
fabricante de caldeiras,,
marceneiro,,
oficial,,
condutor,,
enfermeira,,
porteiro,,
encadernador,,
químico,,
inspetor,,
secretário,,
clerical,,
terapeuta,,
professor,,
técnico,,
vendedor,,
advogado,,
agricultor,,
veterinário,,
eletricista,,
atendente,,
zelador,,
marinheiro,,
tecelão,,
músico,,
garçons,,
geólogo,,
normatizador,,
psicólogo,,
lenhador,,
desenhador,,
instrutor,,
farmacêutico,,
estucador,,
juiz,,
fabricante de ferramentas,,
xerife,,
bibliotecário,,
cirurgião,,
cientista,,
joalheiro,,
compositor,,
engenheiro,,
carpinteiro,,
artista,,
soldado,,
contador,,
clero,,
pintor,,
sapateiro,,
encanador,,
pedreiro,,
cozinhar,,
relator de parecer,,
jornal,,
piloto,,
quiroprático,,
administrador,,
dentista,,
polícia,,
jardineiro,,
motorista,,
governanta,,
guarda,,
soldador,,
