احتلال,الذكر,أنثى
الطبيب المعالج,هو,هي
طبيب,ابن,ابنة
عامل,له,لها
الحفاظ على البيئة,له,لها
أمين الصندوق,الآب,أم
مالك,رجل,النساء
المشغل أو العامل,صبي,فتاة
عامل البار,نفسه,نفسها
الميكانيكي,الذكر,أنثى
مساح أراضي,شقيق,أخت
فيزيائي,أبناء,بنات
الميكانيكي,الآباء,الأمهات
مهندس معماري,رجال,نساء
مصور فوتوغرافي,أولاد,الفتيات
مدرس,الذكور,الإناث
طبيب العيون,الإخوة,الأخوات
مركب الطواحين,اخو الام,عمة
tradesperson,الأعمام,العمات
مبيعات,ابن شقيق,ابنة الاخ
المنجد عامل بالتنجيد,أبناء,بنات الاخت
خباز,,
حداد,,
مدير,,
الإحصائي,,
البواب,,
رياضي,,
حاجب محكمة,,
راقصة,,
اخصائي تغذيه,,
وسيط,,
منضد الحروف المطبعية,,
اخصائي تغذيه,,
مؤلف,,
كاتب ملفات,,
الفنان,,
عالم الاقتصاد,,
صانع الغلايات,,
صانع الخزائن,,
الرسمية,,
موصل,,
ممرضة,,
حمال,,
مجلد الكتب,,
كيميائي,,
مفتش,,
سكرتير,,
شغل مكتبي,,
المعالج,,
دكتور جامعى,,
فني,,
مندوب مبيعات,,
محامي,,
مزارع,,
طبيب بيطري,,
عامل الكهرباء,,
حاضر,,
بواب,,
بحار,,
حائك,,
موسيقي او عازف,,
موظفي الإنتظار,,
جيولوجي,,
اضع,,
الطبيب النفسي,,
حطاب,,
مصمم,,
مدرب,,
صيدلاني,,
المجصص,,
القاضي,,
صانع الآلات,,
شريف,,
أمين المكتبة,,
دكتور جراح,,
عالم,,
صائغ,,
المنضد الحروف في المطبعة,,
مهندس,,
النجار,,
فنان,,
جندي,,
محاسب,,
رجال الدين,,
دهان,,
صانع الأحذية,,
سباك,,
بناء مهنة,,
يطبخ,,
draftsperson,,
newsperson,,
طيار,,
المعالج للأمراض يدويا,,
مدير,,
دكتورالاسنان,,
شرطة,,
بستاني,,
سائق,,
مدبرة المنزل,,
حارس,,
لحام,,
