ሥራ,ወንድ,ሴት
ሐኪም,እሱ,እሷ
ሐኪም,ወንድ ልጅ,ሴት ልጅ
ሠራተኛ,የእሱ,የራሱ ነው
ጥበቃ,እሱን,የእሷ
ገንዘብ ተቀባይ,አባት,እናት
የባለቤትነት መብት,ሰው,ሴት
ከዋኝ,ወንድ ልጅ,ልጃገረድ
ሻጭ,ራሱ,ራሷ
መካኒክ,ወንድ,ሴት
ቀያሪ,ወንድም,እህት
የፊዚክስ ሊቅ,ወንዶች ልጆች,ሴት ልጆች
ማሽን,አባቶች,እናቶች
አርክቴክት,ወንዶች,ሴቶች
ፎቶግራፍ አንሺ,ወንዶች,ልጃገረዶች
መምህር,ወንዶች,ሴቶች
የዓይን ሐኪም,ወንድሞች,እህቶች
ወፍጮ,አጎት,አክስቴ
ነጋዴ,አጎቶች,አክስቶች
ሽያጮች,የወንድም ልጅ,የእህት ልጅ
upholsterer,የአጎት ልጆች,የእህት ልጅ
ጋጋሪ,,
ስሚዝ,,
ሥራ አስኪያጅ,,
ስታቲስቲክስ,,
የበር ጠባቂ,,
አትሌት,,
የዋስትና ወረቀት,,
ዳንሰኛ,,
የአመጋገብ ባለሙያ,,
ደላላ,,
typeetter,,
የምግብ ባለሙያ,,
ደራሲ,,
ሹም,,
አስተናጋጅ,,
ኢኮኖሚስት,,
ቦይለር ማሽን,,
ካቢኔ,,
ባለሥልጣን,,
መሪ,,
ነርስ,,
በረኛ,,
የመፅሀፍ ሰሌዳ,,
ኬሚስት,,
ተቆጣጣሪ,,
ጸሐፊ,,
ቄስ,,
ቴራፒስት,,
ፕሮፌሰር,,
ቴክኒሽያን,,
ሻጭ,,
ነገረፈጅ,,
ገበሬ,,
የእንስሳት ሐኪም,,
ኤሌክትሪክ,,
አስተናጋጅ,,
የፅዳት ሰራተኛ,,
መርከበኛ,,
ሽመና,,
ሙዚቀኛ,,
ተጠባባቂ,,
ጂኦሎጂስት,,
አዘጋጅ,,
የሥነ ልቦና ባለሙያ,,
እንጨት,,
ንድፍ አውጪ,,
አስተማሪ,,
ፋርማሲስት,,
ፕላስተር,,
ዳኛ,,
መሣሪያ ሰሪ,,
ሸሪፍ,,
የቤተመጽሐፍት ባለሙያ,,
የቀዶ ጥገና ሐኪም,,
ሳይንቲስት,,
ጌጣጌጥ,,
አቀናባሪ,,
መሃንዲስ,,
አናጢ,,
አርቲስት,,
ወታደር,,
የሂሳብ ባለሙያ,,
ቀሳውስት,,
ሥዕል,,
ጫማ ጫማ,,
ዘራፊ,,
ማሞን,,
ማብሰል,,
አዘጋጅ,,
ዜና አቀንቃኝ,,
አብራሪ,,
chiropractor,,
አስተዳዳሪ,,
የጥርስ ሐኪም,,
ፖሊስ,,
አትክልተኛ,,
ሹፌር,,
የቤት ሠራተኛ,,
ጠብቅ,,
welder,,
