noho,tane,he wahine
rata,ia,ia
tākuta,tama,tamahine
kaimahi,ana,hers
Kaipurangi,ko ia,ko ia
kaiwhiwhi,tama,whaea
rangatira,tangata,wahine
kaiwhakarato,tama,kotiro
kaiwhakaatu,ana ia,iho
miihini,tane,he wahine
kairuri,teina,tuahine
ahorangi tahuti,tama,tamāhine
machinist,matua,whaea
kaiwhakahuahua,Tangata,e wahine
kaitango whakaahua,tama,kotiro
kaiako,tane,uwha
kirihou,teina,tuahine
millwright,matua kēkē,he whaea
kaihokohoko,kuia,he whaea koretake
hoko,tama tama,te tamahine
Upholsterer,tama teina,nieces
tunutunu,,
smith,,
kaiwhakahaere,,
tangata tatauranga,,
kaitautoko,,
kaitakaro,,
kaiarahi,,
kanikani,,
kaiateora,,
kaihokohoko,,
papapihi,,
kai te kai,,
kaituhi,,
kaikorero,,
whakangahau,,
ohanga,,
boilermaker,,
kāpene,,
whai mana,,
Kaituku,,
nēhi,,
porter,,
pukapukaata,,
kaituta,,
kaitirotiro,,
hēkeretari,,
whaihua,,
haumanu,,
Ahorangi,,
hangarau,,
kaihoko,,
roia,,
kaiahuwhenua,,
hōiho manu,,
hikoi,,
hoa,,
kaiwhakarite,,
kaiwhakatere,,
kairoti,,
kaiwaiata,,
takakau,,
geologist,,
whakanoho,,
hinengaro,,
rimuake,,
kaihoahoa,,
kaiwhakaako,,
Tahu motika,,
raima,,
whakawa,,
whaikorero,,
totika,,
whare pukapuka,,
mātau,,
pūtaiao,,
kaikahu,,
Kaitito,,
hinihini,,
whakairo,,
Toi,,
hoia,,
kaikaute,,
mauri,,
kaipeita,,
kaikamahi,,
he taara,,
mason,,
tunua,,
kaitirotiro,,
kaikōrero,,
paerua,,
chiropractor,,
kaiwhakahaere,,
nēhi,,
pirihimana,,
māra kai,,
taraiwa,,
rangatira whare,,
kaitiaki,,
Kaiwhakaputa,,
