Foglalkozása,férfi,női
orvos,ő,ő
orvos,fiú,lánya
munkás,övé,az övé
konzervatív,neki,neki
pénztáros,apa,anya
tulajdonos,Férfi,nő
operátor,fiú,lány
csapos,önmaga,önmaga
szerelő,férfi,női
felügyelő,fiú testvér,lánytestvér
fizikus,fiai,lányai
gépész,apák,anyák
építészmérnök,férfiak,nők
fotós,fiúk,lányok
tanár,férfiak,nőstények
optometrista,testvérek,nővérek
malomépítő,nagybácsi,néni
tradesperson,nagybácsik,nagynénik
értékesítés,unokaöcs,unokahúg
kárpitos,unokaöccsei,unokahúga
pék,,
Kovács,,
menedzser,,
statisztikus,,
ajtónálló,,
sportoló,,
végrehajtó,,
táncos,,
táplálkozási,,
bróker,,
betűszedő,,
diéta specialista,,
szerző,,
hivatalnok,,
szórakoztató,,
közgazdász,,
Boilermaker,,
Bútorasztalos,,
hivatalos,,
karmester,,
ápoló,,
hordár,,
könyvkötő,,
vegyész,,
ellenőr,,
titkár,,
irodai,,
gyógyász,,
Egyetemi tanár,,
technikus,,
eladó,,
jogász,,
Gazda,,
állatorvos,,
villanyszerelő,,
kísérő,,
gondnok,,
tengerész,,
takács,,
zenész,,
felszolgálók,,
geológus,,
beállító,,
pszichológus,,
favágó,,
tervező,,
oktató,,
gyógyszerész,,
vakoló,,
bíró,,
szerszámkészítő,,
seriff,,
könyvtáros,,
sebész,,
tudós,,
ékszerész,,
szedő,,
mérnök,,
Ács,,
művész,,
katona,,
Könyvelő,,
papság,,
festő,,
cipész,,
vízvezeték-szerelő,,
kőműves,,
szakács,,
vélemény előadója,,
newsperson,,
pilóta,,
Csontkovács,,
adminisztrátor,,
fogorvos,,
rendőrség,,
kertész,,
sofőr,,
házvezetőnő,,
őr,,
hegesztő,,
