כיבוש,זכר,נקבה
רופא,הוא,היא
רופא,בן,בת
פועל,שלו,שלה
שימור,אותו,אותה
קופאית,אב,אמא
בעלים,איש,אישה
מפעיל,ילד,נערה
הברמן,את עצמו,את עצמה
מכונאי,זכר,נקבה
מודד,אח,אחות
פיזיקאי,בנים,בנות
מכונאי,אבות,אמהות
אדריכל,גברים,נשים
צלם,בנים,בנות
מורה,זכרים,נקבות
אופטומטריסט,אחים,אחיות
מילטרית,דוד,דודה
איש סחר,דודים,דודות
מכירות,אחיין,אחיינית
רפד,אחיינים,אחייניות
אופה,,
סמית ',,
מנהל,,
סטטיסטיקאי,,
שומר דלת,,
אתלט,,
הוצאה לפועל,,
רקדן,,
תזונאית,,
מתווך,,
סוגים,,
דיאטנית,,
מחבר,,
פקיד,,
בדרן,,
כלכלן,,
כיריים,,
יצרנית הממשלה,,
רשמי,,
מנצח,,
אחות,,
שוער,,
כריכת ספרים,,
כימאי,,
מפקח,,
מזכיר,,
פקידותית,,
מטפל,,
פרופסור,,
טכנאי,,
איש מכירות,,
עורך דין,,
חקלאי,,
וטרינר,,
חשמלאי,,
דיילת,,
שרת,,
מלח,,
אורג,,
מוזיקאי,,
מלצר,,
גיאולוג,,
סתר,,
פסיכולוג,,
חוטב עצים,,
מעצב,,
מדריך,,
רוקח,,
טיח,,
שופט,,
יצרנית כלים,,
שריף,,
ספרן,,
מנתח,,
מדען,,
צורף,,
מלחין,,
מהנדס,,
נגר,,
אמן,,
חייל,,
רואת חשבון,,
כמורה,,
צייר,,
סנדלר,,
שרברב,,
בנאי,,
לבשל,,
מנסח,,
עיתון,,
טייס,,
כירופרקט,,
מנהל,,
רופא שיניים,,
משטרה,,
גנן,,
נהג,,
אב בית,,
שומר,,
רתך,,
