തൊഴിൽ,ആൺ,പെൺ
വൈദ്യൻ,അവൻ,അവൾ
ഡോക്ടർ,മകൻ,മകൾ
തൊഴിലാളി,അദ്ദേഹത്തിന്റെ,അവളുടെ
സംരക്ഷകൻ,അവനെ,അവളുടെ
കാഷ്യർ,അച്ഛൻ,അമ്മ
ഉടമസ്ഥൻ,മനുഷ്യൻ,സ്ത്രീ
ഓപ്പറേറ്റർ,പയ്യൻ,പെൺകുട്ടി
ബാർട്ടെൻഡർ,സ്വയം,സ്വയം
മെക്കാനിക്ക്,ആൺ,പെൺ
സർവേയർ,സഹോദരൻ,സഹോദരി
ഭൗതികശാസ്ത്രജ്ഞൻ,മക്കൾ,പെൺമക്കൾ
യന്ത്രവാദി,പിതാക്കന്മാർ,അമ്മമാർ
ആർക്കിടെക്റ്റ്,പുരുഷന്മാർ,സ്ത്രീകൾ
ഫോട്ടോഗ്രാഫർ,ആൺകുട്ടികൾ,പെൺകുട്ടികൾ
അധ്യാപകൻ,പുരുഷന്മാർ,പെൺ
ഒപ്‌റ്റോമെട്രിസ്റ്റ്,സഹോദരന്മാർ,സഹോദരിമാർ
മിൽ‌റൈറ്റ്,അമ്മാവൻ,അമ്മായി
വ്യാപാരി,അമ്മാവന്മാർ,അമ്മായിമാർ
വിൽപ്പന,മരുമകൻ,മരുമകൾ
അപ്ഹോൾസ്റ്ററർ,മരുമക്കൾ,മരുമക്കൾ
ബേക്കർ,,
സ്മിത്ത്,,
മാനേജർ,,
സ്ഥിതിവിവരക്കണക്ക്,,
ഡോർകീപ്പർ,,
അത്‌ലറ്റ്,,
ജാമ്യക്കാരൻ,,
നർത്തകി,,
പോഷകാഹാര വിദഗ്ധൻ,,
ബ്രോക്കർ,,
ടൈപ്പ്സെറ്റർ,,
ഡയറ്റീഷ്യൻ,,
രചയിതാവ്,,
ഗുമസ്തൻ,,
എന്റർടെയ്‌നർ,,
സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,,
ബോയിലർ നിർമ്മാതാവ്,,
കാബിനറ്റ് മേക്കർ,,
.ദ്യോഗികം,,
കണ്ടക്ടർ,,
നഴ്സ്,,
പോർട്ടർ,,
ബുക്ക് ബൈൻഡർ,,
രസതന്ത്രജ്ഞൻ,,
ഇൻസ്പെക്ടർ,,
സെക്രട്ടറി,,
ക്ലറിക്കൽ,,
തെറാപ്പിസ്റ്റ്,,
പ്രൊഫസർ,,
ടെക്നീഷ്യൻ,,
വിൽപ്പനക്കാരൻ,,
അഭിഭാഷകൻ,,
കർഷകൻ,,
മൃഗവൈദന്,,
ഇലക്ട്രീഷ്യൻ,,
പരിചാരകൻ,,
കാവൽക്കാരൻ,,
നാവികൻ,,
നെയ്ത്തുകാരൻ,,
സംഗീതജ്ഞൻ,,
വെയിറ്റ്സ്റ്റാഫ്,,
ജിയോളജിസ്റ്റ്,,
സെറ്റർ,,
മന psych ശാസ്ത്രജ്ഞൻ,,
ലംബർജാക്ക്,,
ഡിസൈനർ,,
ഇൻസ്ട്രക്ടർ,,
ഫാർമസിസ്റ്റ്,,
പ്ലാസ്റ്ററർ,,
ന്യായാധിപൻ,,
ടൂൾമേക്കർ,,
ഷെരീഫ്,,
ലൈബ്രേറിയൻ,,
സർജൻ,,
ശാസ്ത്രജ്ഞൻ,,
ജ്വല്ലറി,,
കമ്പോസിറ്റർ,,
എഞ്ചിനീയർ,,
ആശാരി,,
ആർട്ടിസ്റ്റ്,,
സൈനികൻ,,
അക്കൗണ്ടന്റ്,,
പുരോഹിതന്മാർ,,
ചിത്രകാരൻ,,
ഷൂ നിർമ്മാതാവ്,,
പ്ളംബര്,,
മേസൺ,,
വേവിക്കുക,,
ഡ്രാഫ്റ്റ്സ്പേഴ്സൺ,,
ന്യൂസ്‌പേഴ്‌സൺ,,
പൈലറ്റ്,,
കൈറോപ്രാക്റ്റർ,,
അഡ്മിനിസ്ട്രേറ്റർ,,
ദന്തരോഗവിദഗ്ദ്ധൻ,,
പോലീസ്,,
തോട്ടക്കാരൻ,,
ഡ്രൈവർ,,
വീട്ടുജോലിക്കാരി,,
കാവൽ,,
വെൽഡർ,,
