पेशा,नर,महिला
चिकित्सक,मसँग छ,उनी
चिकित्सक,छन्,छोरी
मजदुर,उसको,उनको
संरक्षणवादी,उसलाई,उनको
खजांची,बुबा,आमा
प्रोप्राइटर,मानिस,महिला
अपरेटर,केटा,केटी
बार्टेन्डर,आफैं,उनी
मेकानिक,नर,महिला
सर्वेक्षणकर्ता,भाई,बहिनी
भौतिकशास्त्री,छोराहरू,छोरीहरू
मशिनिस्ट,बुबाहरू,आमा
वास्तुकार,पुरुषहरू,महिला
फोटोग्राफर,केटाहरू,केटीहरू
शिक्षक,दुष्टता,महिलाहरु
optometrist,भाइहरु,बहिनीहरू
मिलवाइट,काका,काकी
व्यापारी,काका,काकी
बाहिर जानुहोस्,भतिजा,भान्जी
असबाबवाला,भतिजा,तिमीलाई थाहा छ
बेकर,,
स्मिथ,,
प्रबन्धक,,
सांख्यिकीय,,
ढोका,,
खेलाडी,,
बेलीफ,,
नर्तक,,
पोषण विशेषज्ञ,,
दलाल,,
टाइपसेटर,,
आहारविद्,,
लेखक,,
क्लर्क,,
मनोरन्जन गर्ने,,
अर्थशास्त्री,,
बायलर निर्माता,,
कैबिनेटमेकर,,
आधिकारिक,,
ड्राइभर,,
नर्स,,
भरिया,,
किताब बाइन्डर,,
रसायन विज्ञ,,
निरीक्षक,,
सचिव,,
लिपिक,,
चिकित्सक,,
प्राध्यापक,,
प्राविधिक,,
विक्रेता,,
वकिल,,
किसान,,
पशुचिकित्सा,,
इलेक्ट्रिशियन,,
परिचर,,
चौकीदार,,
नाविक,,
बुनाई,,
संगीतकार,,
प्रतीक्षा,,
भूवैज्ञानिक,,
सेटर,,
मनोवैज्ञानिक,,
लाम्बरजेक,,
डिजाइनर,,
प्रशिक्षक,,
फार्मासिष्ट,,
प्लास्टरर,,
न्यायाधीश,,
उपकरण निर्माता,,
शेरिफ,,
जारी गर्ने थियो,,
सर्जन,,
वैज्ञानिक,,
गहना,,
कम्पोजर,,
ईन्जिनियर,,
सिकर्मी,,
कलाकार,,
सिपाही,,
लेखापाल,,
पादरी,,
चित्रकार,,
जुत्ता निर्माता,,
प्लम्बर,,
मेसन,,
पकाउनु,,
ड्राफ्टपर्सन,,
न्यूजर्सन,,
पायलट,,
Chiropractor,,
प्रशासक,,
दन्त चिकित्सक,,
पुलिस,,
माली,,
ड्राइभर,,
हाउसकीपर,,
गार्ड,,
वेल्डर,,
