פאַך,זכר,ווייַבלעך
דאָקטער,ער,זי
דאָקטער,זון,טאָכטער
ארבעטער,זיין,hers
קאָנסערוואַטיאָניסט,אים,זי
קאַסירער,טאַטע,מוטער
באַלעבאָס,מענטש,פרוי
אָפּעראַטאָר,יינגל,מיידל
באַרשענקער,זיך,זיך
מעכאַניקער,זכר,ווייַבלעך
יבערבליק,ברודער,שוועסטער
פיזיקער,sons,טעכטער
מאַשיניסט,אבות,מוטערס
architekt,מענטשן,וואָמען
פאָטאָגראַף,boys,גערלז
לערער,מאַלעס,פימיילז
optometrist,ברידער,שוועסטער
millwright,פעטער,מומע
טריידפּערסאַן,אַנגקאַלז,aunts
פארקויפונג,פּלימעניק,פּלימעניצע
אַפּאָולסטערער,נעפיוז,ניסעס
בעקער,,
סמית,,
פאַרוואַלטער,,
סטאַטיסטיקס,,
טירמאַכער,,
אַטלעט,,
באַיליפף,,
טענצער,,
נוטרישאַניסט,,
מעקלער,,
typesetter,,
דייאַטישאַן,,
מחבר,,
באַאַמטער,,
entertainer,,
עקאָנאָמיסט,,
boilermaker,,
שאַפער,,
באַאַמטער,,
אָנפירער,,
ניאַניע,,
porter,,
bookbinder,,
כעמיקער,,
inspector,,
סעקרעטאַר,,
קלעריקאַל,,
טעראַפּיסט,,
פּראָפעסאָר,,
technician,,
סיילזפּערסאַן,,
אדוואקאט,,
פּויער,,
וועטערינאַר,,
ילעקטרישאַן,,
באַגלייטער,,
סטראָזש,,
מאַטראָס,,
וויווער,,
קלעזמער,,
waitstaff,,
געאָלאָגיסט,,
סעטער,,
psychologist,,
lumberjack,,
דיזיינער,,
instructor,,
אַפּטייקער,,
פּלאַסטערער,,
ריכטער,,
toolmaker,,
שעריף,,
ליבראַריאַן,,
כירורג,,
געלערנטער,,
יווועלירער,,
קאָמפּאָזיטאָר,,
ינזשעניר,,
סטאָליער,,
קינסטלער,,
זעלנער,,
כעזשבנ - פירער,,
קלער,,
מאָלער,,
שוסטער,,
פּלאַמער,,
mason,,
קאָכן,,
draftsperson,,
צייטונג,,
פּילאָט,,
טשיראָפּראַקטאָר,,
אַדמיניסטראַטאָר,,
ציינדאָקטער,,
פּאָליצייַ,,
גערטנער,,
שאָפער,,
באַלעבאָסטע,,
היטן,,
וועלדער,,
