مسلک,نر,ښځينه
معالج,هغه,هغه
ډاکټر,زوی,لور
کارګر,د,د هغه
محافظه کار,هغه,د هغې
پانګه وال,پلار,مور
ملکیت,سړی,ښځه
چلونکی,هلک,انجلۍ
بارټینډر,ځان,خپله
میخانیک,نر,ښځينه
سروی ورکونکی,ورور,خور
فزیک پوه,زامن,لو daughtersې
ماشين جوړونکی,پلرونه,ميندې
معمار,سړي,ښځي
عکاسي کول,هلکان,انجونې
ښوونکی,نر,ښځینه
optometrist,ورو brothersو,خويندې
ملټریټ,تره,ترور
سوداګر,تره,ترور
پلور,وراره,خره
د,وراره,نیکونه
بیکر,,
څنگه,,
مدیر,,
احصاییه,,
د دروازې ساتونکی,,
ورزشکار,,
بیلف,,
نڅاګر,,
تغذیه کونکی,,
دلال,,
ټایپیسټر,,
رژیم,,
لیکوال,,
کلارک,,
ساتیري,,
اقتصاد پوه,,
بویلر جوړونکی,,
کابینه جوړونکی,,
رسمي,,
کنډکټر,,
نرس,,
ګیدړ,,
کتاب کتاب,,
کيمياست,,
تفتیش کونکی,,
منشي,,
ديني عالم,,
معالج,,
پروفیسور,,
تکنيشن,,
پلورونکی,,
وكيل,,
بزګر,,
وترنری,,
بریښنایی,,
حاضر,,
د څارونکي,,
نااخت,,
اوبدل,,
سندرغاړی,,
ویټسټف,,
جيولوجست,,
جوړونکی,,
رواني پوه,,
لمبرجیک,,
ډیزاینر,,
ښوونکی,,
درمل جوړونکی,,
پلسترونکی,,
قضاوت,,
توکی جوړونکی,,
شیرف,,
کتابتون,,
جراح,,
ساینس پوه,,
زیور,,
کمپوزر,,
انجینر,,
ترکا,,
هنرمند,,
عسکر,,
محاسب,,
پادري,,
انځورګر,,
بوټ جوړونکی,,
پلمبر,,
خټګه,,
پخلی,,
مسوده,,
نیوزیلسن,,
پیلوټ,,
ونو,,
منتظم,,
د غاښونو ډاکټر,,
پولیس,,
باغوان,,
چلوونکی,,
کور ساتونکی,,
ساتونکی,,
ویلډر,,
