profesion,mashkull,femër
mjek,ai,ajo
mjek,bir,bijë
punëtor,e tij,hers
konservative,atë,e saj
arkëtar,baba,nënë
pronar,njeri,grua
operator,djalë,vajze
barist,vetë,vetë
mekanik,mashkull,femër
topograf,vëlla,motër
fizikan,bijtë e,vajzat
mekanik,etërit,nënat
arkitekt,burra,gratë
fotograf,Boys,vajzat
mësues,meshkujt,femra
optometrist,vëllezërit,motrat
konstruktor makinash bloje,dajë,hallë
tradesperson,xhaxhallarët,hallat
shitjet,nip,mbesë
tapicier,nipat,mbesat
furrtar,,
kovaç,,
menaxher,,
statisticien,,
portier,,
atlet,,
përmbarues,,
balerin,,
mjek diete,,
komisioner,,
radhitës,,
dietës,,
autor,,
nëpunës,,
zot shtëpie,,
ekonomist,,
Boilermaker,,
cabinetmaker,,
zyrtar,,
dirigjent,,
infermiere,,
portier,,
libralidhës,,
kimist,,
inspektor,,
sekretar,,
zyre,,
terapist,,
profesor,,
teknik,,
salesperson,,
avokat,,
fermer,,
veteriner,,
inxhinier elektrik,,
shoqërues,,
portier,,
marinar,,
endës,,
muzikant,,
waitstaff,,
gjeolog,,
setër,,
psikolog,,
grifshë,,
projektues,,
instruktor,,
farmacist,,
Punëtor,,
gjyqtar,,
toolmaker,,
sherif,,
Bibliotekar,,
kirurg,,
shkencëtar,,
argjendar,,
radhitës,,
inxhinier,,
marangoz,,
artist,,
ushtar,,
llogaritar,,
kler,,
piktor,,
këpucar,,
hidraulik,,
mason,,
kuzhinier,,
draftsperson,,
newsperson,,
pilot,,
chiropractor,,
administrator,,
dentist,,
polici,,
kopshtar,,
shofer,,
amvisë,,
rojë,,
saldator,,
