occupazione,maschile,femminile
medico,ellu,ella
duttore,figliolu,figliola
lavoratore,su,so
conservacionistu,ellu,ella
cassa,babbu,mamma
pruprietariu,omu,donna
operatore,zitellu,picciotta
barman,ellu stessu,ella stessu
meccanicu,maschile,femminile
topografu,fratellu,Surella
fisicu,figlioli,figliole
machinista,babbi,mammi
architettu,omi,e donne
fotografu,picciotti,picciutteddi
maestru,maschi,femini
optometristu,fratelli,surelle
millwright,ziu,zia
cummerciale,zii,zia
vendite,nipote,nipote
tapizzatore,nipoti,nipote
panatteru,,
fabbricante,,
gestore,,
statìsticu,,
servitore di porta,,
atleta,,
giudice,,
ballerina,,
nutrizionista,,
broker,,
tipografica,,
dietista,,
autore,,
impiegatu,,
animatore,,
ecunumista,,
caldera,,
ebanisteria,,
ufficiale,,
cunduttore,,
infermiera,,
porter,,
bookbinder,,
chimicu,,
ispettore,,
secretariu,,
clerical,,
terapeuta,,
prufessore,,
tecnicu,,
venditore,,
avucatu,,
agricultore,,
veterinariu,,
electricista,,
assistente,,
Ghjentinariu,,
marinaio,,
tejedor,,
musicista,,
cameriera,,
geologu,,
fissatore,,
psicologu,,
lumberjack,,
designer,,
istruttore,,
farmacistu,,
intrattenitore,,
ghjudice,,
attrezzi,,
sheriff,,
bibliotecariu,,
chirurgo,,
scientistu,,
ghjuvellu,,
cumpusitore,,
ingegneria,,
carpinteriu,,
artistu,,
suldatu,,
contabile,,
clero,,
pittore,,
calzature,,
lampadore,,
maçon,,
coccia,,
disegnatore,,
giurnalistu,,
pilotu,,
chiropraviu,,
amministratore,,
dentista,,
Polizia,,
giardiniere,,
driver,,
pulizzeru,,
guardà,,
saldatore,,
