kasb,erkak,ayol
tabib,u,u
shifokor,o'g'li,qizi
ishchi,uning,uning
tabiatni muhofaza qilish mutaxassisi,uni,uni
kassir,otasi,Ona
mulkdor,kishi,ayol
operator,bola,qiz
barmen,o'zi,o'zi
mexanik,erkak,ayol
skaner,aka,singil
fizik,o'g'illari,qizlari
mashinist,otalar,onalar
me'mor,erkaklar,ayollar
fotograf,o'g'il bolalar,qizlar
o'qituvchi,erkaklar,urg'ochi
optometrist,aka-uka,opa-singillar
tegirmonchi,tog'a,xolasi
savdogar,amakilar,xolalar
savdo,jiyan,jiyan
krovat,jiyanlari,jiyanlari
novvoy,,
temirchi,,
menejer,,
statistika mutaxassisi,,
darvozabon,,
sportchi,,
sud ijrochisi,,
raqqosa,,
ovqatlanish mutaxassisi,,
vositachi,,
yozuvchi,,
diyetisyen,,
muallif,,
xizmatchi,,
ko'ngil ochuvchi,,
iqtisodchi,,
qozon ishlab chiqaruvchi,,
idishni quruvchi,,
rasmiy,,
o'tkazgich,,
hamshira,,
yuk tashuvchi,,
kitob muharriri,,
kimyogar,,
tekshiruvchi,,
kotib,,
mansabdor,,
terapevt,,
professor,,
texnik mutaxassis,,
sotuvchi,,
yurist,,
dehqon,,
veterinar,,
elektrchi,,
xizmatchi,,
darvozabon,,
dengizchi,,
to'quvchi,,
sozanda,,
ofitsiant,,
geolog,,
sozlovchi,,
psixolog,,
dudakcha,,
dizayner,,
o'qituvchi,,
farmatsevt,,
suvoqchi,,
sudya,,
asbobsoz,,
sherif,,
kutubxonachi,,
jarroh,,
olim,,
zargar,,
bastakor,,
muhandis,,
duradgor,,
rassom,,
askar,,
hisobchi,,
ruhoniylar,,
rassom,,
poyabzal sotuvchi,,
santexnik,,
mason,,
pishirmoq,,
shashka ustasi,,
yangi odam,,
uchuvchi,,
chiropraktor,,
ma'mur,,
tish shifokori,,
politsiya,,
bog'bon,,
haydovchi,,
uy bekasi,,
qorovul,,
payvandchi,,
