اشتغال,نر,زن
پزشک,او,او
دکتر,فرزند پسر,فرزند دختر
کارگر,خود,او
محافظه کار,به او,او
صندوقدار,پدر,مادر
مالک,مرد,زن
اپراتور,پسر,دختر
پادگان,خودش,خودش
مکانیک,نر,زن
نقشه بردار,برادر,خواهر
فیزیکدان,پسران,دختران
ماشین سازی,پدران,مادران
معمار,مردان,زنان
عکاس,پسران,دختران
معلم,نرها,زنها
اپتومتریست,برادران,خواهران
آسیاب,دایی,عمه
بازرگان,عموها,خاله ها
حراجی,پسر خواهر یا برادر,دختر برادر یا خواهر و غیره
اثاثه یا لوازم داخلی,برادرزاده ها,خواهرزاده ها
نانوا,,
اسمیت,,
مدیر,,
آمارشناس,,
دروازه بان,,
ورزشکار,,
وثیقه,,
رقصنده,,
متخصص تغذیه,,
دلال,,
حروفچینی,,
متخصص تغذیه,,
نویسنده,,
منشی,,
سرگرمی,,
اقتصاددان,,
دیگ بخار,,
کابینه ساز,,
رسمی,,
رهبر ارکستر,,
پرستار,,
حمل کننده,,
جلد کتاب,,
شیمیدان,,
بازرس,,
"دبیر، منشی",,
روحانی,,
درمانگر,,
استاد,,
تکنسین,,
فروشنده,,
وکیل,,
مزرعه دار,,
دامپزشک,,
متخصص برق,,
شرکت کننده,,
سرایدار,,
ملوان,,
بافنده,,
نوازنده,,
خدمه ی رستوران,,
زمین شناس,,
ستر,,
روانشناس,,
چوبی,,
طراح,,
مدرس,,
داروساز,,
پلاستر,,
قضاوت کنید,,
سازنده ابزار,,
کلانتر,,
کتابدار,,
جراح,,
دانشمند,,
جواهر فروش,,
آهنگساز,,
مهندس,,
نجار,,
هنرمند,,
سرباز,,
حسابدار,,
روحانیت,,
نقاش,,
کفش,,
لوله کش,,
سنگ تراشی,,
پختن,,
پیش نویس,,
روزنامه نگاران,,
خلبان,,
کایروپراکتور,,
مدیر,,
دندانپزشک,,
پلیس,,
باغبان,,
راننده,,
خانه دار,,
نگهبان,,
جوشکار,,
