ocupación,macho,femia
médico,el,ela
médico,fillo,filla
peón,seu,súa
conservacionista,el,ela
caixeiro,pai,nai
propietario,home,muller
operador,rapaz,rapaza
camareiro,el mesmo,ela mesma
mecánico,macho,femia
topógrafo,irmán,irmá
físico,fillos,fillas
maquinista,pais,nais
arquitecto,homes,mulleres
fotógrafo,rapaces,rapazas
profesor,machos,femias
optometrista,irmáns,irmás
milwright,tío,tía
comerciante,tíos,tías
vendas,sobriño,sobriña
tapizado,sobriños,sobriñas
panadeiro,,
ferreiro,,
xestor,,
estatístico,,
gardameta,,
atleta,,
alguacil,,
bailarina,,
nutricionista,,
corrector,,
tipografía,,
dietista,,
autor,,
funcionario,,
animador,,
economista,,
caldeira,,
ebanista,,
Oficial,,
condutor,,
enfermeira,,
porteiro,,
encadernación,,
químico,,
inspector,,
secretario,,
clerical,,
terapeuta,,
profesor,,
técnico,,
vendedor,,
avogado,,
labrego,,
veterinario,,
electricista,,
asistente,,
conserxe,,
mariñeiro,,
tecedor,,
músico,,
camareira,,
xeólogo,,
setter,,
psicólogo,,
leñador,,
deseñador,,
instrutor,,
farmacéutico,,
xeso,,
xuíz,,
fabricante de ferramentas,,
xerife,,
bibliotecario,,
cirurxián,,
científico,,
xoieiro,,
compositor,,
enxeñeiro,,
carpinteiro,,
artista,,
soldado,,
contable,,
clero,,
pintor,,
zapateiro,,
fontaneiro,,
albanel,,
cociñeiro,,
ponente,,
xornalista,,
piloto,,
quiropráctico,,
administrador,,
dentista,,
policía,,
xardineiro,,
condutora,,
ama de casa,,
garda,,
soldador,,
