ocupació,masculí,femení
metge,ell,ella
metge,fill,filla
peó,seva,seva
conservacionista,ell,ella
caixer,pare,mare
propietari,home,dona
operador,noi,nena
cambrer,a si mateix,ella mateixa
mecànica,masculí,femení
agrimensor,germà,germana
físic,fills,filles
maquinista,pares,mares
arquitecte,homes,dones
fotògraf,nois,noies
professor,mascles,femelles
optometrista,germans,germanes
millwright,oncle,tia
comerciant,oncles,tietes
vendes,nebot,neboda
tapisser,nebots,nebodes
forner,,
forjador,,
gerent,,
estadístic,,
porter,,
atleta,,
agutzil,,
ballarina,,
nutricionista,,
corredor,,
tipografia,,
dietista,,
autor,,
secretari,,
animador,,
economista,,
caldera,,
ebenista,,
oficial,,
conductor,,
infermera,,
porter,,
enquadernador,,
químic,,
inspector,,
secretari,,
clerical,,
terapeuta,,
professora,,
tècnic,,
venedor,,
advocat,,
pagès,,
veterinari,,
electricista,,
assistent,,
conserge,,
mariner,,
teixidor,,
músic,,
cambrera,,
geòleg,,
setter,,
psicòleg,,
trampolí,,
dissenyador,,
instructor,,
farmacèutic,,
guixador,,
jutge,,
fabricant d’eines,,
xèrif,,
bibliotecària,,
cirurgià,,
científic,,
joier,,
compositor,,
enginyer,,
fuster,,
artista,,
soldat,,
comptable,,
clero,,
pintor,,
sabater,,
lampista,,
maçoneria,,
cuinar,,
ponent,,
periodista,,
pilot,,
quiropràctic,,
administrador,,
dentista,,
policia,,
jardiner,,
conductor,,
menestral,,
guàrdia,,
soldador,,
