ажил мэргэжил,эрэгтэй,эмэгтэй
эмч,Надад байгаа,тэр эмэгтэй
эмч,байна,охин
ажилчин,түүний,түүнийх
байгаль хамгаалагч,түүнийг,түүнийг
кассчин,аав,ээж
өмчлөгч,эр хүн,эмэгтэй хүн
операторын,хүү,охин
наймаачин,өөрөө,өөрөө
механикч,эрэгтэй,эмэгтэй
судлаач,ах,эгч
физикч,хөвгүүд,охидууд
машинч,аавууд,ээжүүд
архитектор,эрчүүд,эмэгтэйчүүд
гэрэл зурагчин,хөвгүүд,охидууд
багш,хорон муу,эмэгчин
нүдний эмч,ах дүү нар,эгч нар
тээрэмчин,авга ах,нагац эгч
худалдаачин,авга ах нар,нагац эгч нар
гарах,ач хүү,ач охин
өргөгч,ач нар,мэдэж байгаа биз дээ
нарийн боовчин,,
смит,,
менежер,,
статистикч,,
хаалгачин,,
тамирчин,,
шүүгч,,
бүжигчин,,
хоол тэжээлийн мэргэжилтэн,,
брокер,,
typetter,,
хоолны дэглэмч,,
зохиогч,,
бичиг хэргийн ажилтан,,
зугаа цэнгэл,,
эдийн засагч,,
бойлер үйлдвэрлэгч,,
шүүгээч,,
албан ёсны,,
жолооч,,
сувилагч,,
ачигч,,
номын хавчуурга,,
химич,,
байцаагч,,
нарийн бичгийн дарга,,
бичиг хэргийн,,
эмчилгээний эмч,,
профессор,,
техникч,,
худалдаачин,,
хуульч,,
фермер,,
малын эмч,,
цахилгаанчин,,
үйлчлэгч,,
дарагч,,
далайчин,,
нэхэгч,,
хөгжимчин,,
хүлээлгэгч,,
геологич,,
тохируулагч,,
сэтгэл зүйч,,
модон боов,,
дизайнер,,
зааварлагч,,
эм зүйч,,
шавардуулагч,,
шүүгч,,
багаж үйлдвэрлэгч,,
шериф,,
суллах байсан,,
мэс засалч,,
эрдэмтэн,,
үнэт эдлэл,,
хөгжмийн зохиолч,,
инженер,,
мужаан,,
зураач,,
цэрэг,,
нягтлан бодогч,,
шашинтнууд,,
зураач,,
гуталчин,,
сантехникч,,
өрлөг,,
тогооч,,
ноорогчин,,
шинэ хүн,,
нисгэгч,,
хиропрактик,,
администратор,,
шүдний эмч,,
цагдаа,,
цэцэрлэгч,,
жолооч,,
гэрийн ажилтан,,
харуул,,
гагнуурчин,,
