ишғол,мардона,занона
духтур,вай,вай
духтур,писар,духтар
коргар,вай,вай
муҳофизакор,вай,вай
кассир,падар,модар
соҳибмулк,мардона,занона
оператор,писарбача,духтар
бармен,худаш,худаш
механизатор,мардона,занона
тадқиқотчӣ,бародар,хо
физики,писарон,духтарон
машинист,падарон,модарон
меъмор,мардон,занон
суратгир,писарон,духтарон
муаллим,писарон,духтарон
оптимист,бародарон,хоҳарон
миллиметр,амак,хола
савдогар,амакҳо,холаҳо
фурӯш,ҷияни,ҷияни
мебелсоз,немисхо,немисхо
нонпаз,,
smith,,
мудир,,
статист,,
дарвозабон,,
варзишгар,,
судя,,
раққоса,,
ѓизодињанда,,
брокер,,
typetter,,
диетолог,,
муаллиф,,
хизматчй,,
фароғатӣ,,
иктисодчй,,
дӯзанда,,
котиб,,
мансабдор,,
баранда,,
ҳамшира,,
портер,,
букмекерӣ,,
химик,,
нозир,,
котиб,,
котиб,,
терапевт,,
профессор,,
техник,,
фурӯшанда,,
ҳимоягар,,
дехкон,,
байтор,,
электрик,,
хизматгузор,,
дарбон,,
маллоҳ,,
бофанда,,
мусиқӣ,,
истгоҳи интизорӣ,,
геолог,,
setter,,
равоншинос,,
lumberjack,,
дизайнер,,
инструктор,,
дорухона,,
олуча,,
довар,,
асбобсоз,,
шариф,,
китобхон,,
ҷарроҳ,,
олим,,
заргар,,
оҳангсоз,,
муҳандис,,
дуредгар,,
рассом,,
сарбоз,,
муҳосиб,,
рӯҳониён,,
рассом,,
кафшергар,,
сантехник,,
масона,,
пухтан,,
мухаррир,,
нав,,
пилот,,
широактор,,
мудир,,
духтури дандон,,
полис,,
боғбон,,
ронанда,,
соҳибхоназан,,
посбон,,
кафшергар,,
