pagawean,lalaki,awewe
dokter,anjeunna,manehna
dokter,putra,putri
buruh,milikna,hers
tukang jaga,manehna,kabogohna
kasir,bapa,indung
proprietor,lalaki,awewe
operator,budak lalaki,budak awéwé
palayan bar,nyalira,dirina
montir,lalaki,awewe
juruukur,kakang,adi
fisikawan,putra,putri
machinist,bapa-bapa,ibu-ibu
undagi,lalaki,awewe
fotografer,lalaki,lana
guru,lalaki,bikang
optométri,barayana,sadulur
millwright,mamang,bibi
padagang,paman,bibi
jualan,kaponakan lalaki,budak awéwé
upholsterer,ganteng,nieces
tukang roti,,
smith,,
ménéjer,,
statistik,,
panjaga,,
atlit,,
juruikat,,
penari,,
ahli gizi,,
calo,,
setét,,
ahli dietitian,,
ngarang,,
juru tulis,,
ngahibur,,
ekonom,,
alat keur ngagolakkeun,,
kabinet,,
resmi,,
konduktor,,
ngarawat,,
portir,,
toko buku,,
kimiawan,,
inspektur,,
Sekertaris,,
ulama,,
ahli terapi,,
guru besar,,
teknisi,,
tukang dagang,,
pengacara,,
patani,,
dokter hewan,,
tukang listrik,,
rencang,,
panjaga,,
pelaut,,
rangrang,,
musisi,,
waitstaff,,
geolog,,
setter,,
psikologi,,
lumberjack,,
desainer,,
instruktur,,
tukang ubar,,
plesterer,,
hakim,,
toolmaker,,
sheriff,,
pustakawan,,
dokter bedah,,
élmuwan,,
tukang emas,,
komposer,,
insinyur,,
tukang kayu,,
artis,,
serdadu,,
akuntan,,
pendeta,,
pelukis,,
tukang ngaput,,
tukang paip,,
mason,,
masak,,
tukang daptar,,
wartawan,,
pilot,,
chiropractor,,
kuncén,,
dokter gigi,,
pulisi,,
tukang kebon,,
supir,,
nyai,,
panjaga,,
welder,,
