заняття,самець,жіночий
лікар,він,вона
лікарю,син,дочка
трудівник,його,її
природоохоронця,його,її
касир,батько,мати
власник,людина,жінка
оператор,хлопчик,дівчина
бармен,самого себе,сама себе
механік,самець,жіночий
геодезист,брат,сестра
фізик,сини,дочки
машиніст,отці,матерів
архітектор,чоловіки,жінки
фотограф,хлопці,дівчата
вчитель,самці,самки
окуліст,брати,сестри
жорна,дядько,тітка
торговець,дядьки,тітки
продажів,племінник,племінниця
оббивка,племінники,племінниці
пекар,,
коваль,,
менеджер,,
статистик,,
швейцар,,
спортсмен,,
пристава,,
танцюрист,,
дієтолог,,
брокер,,
набір машин,,
дієтолог,,
автор,,
діловод,,
розважальний,,
економіст,,
котельник,,
кабінетник,,
офіційний,,
провідник,,
медсестра,,
портитель,,
палітурка книжок,,
хімік,,
інспектор,,
секретар,,
діловодство,,
терапевт,,
професор,,
технік,,
продавець,,
юрист,,
фермер,,
ветеринар,,
електрик,,
супроводжуючий,,
двірник,,
матрос,,
ткач,,
музикант,,
офіціант,,
геолог,,
сетер,,
психолог,,
дроворуб,,
дизайнер,,
інструктор,,
провізор,,
штукатур,,
судити,,
інструментарій,,
шерифе,,
бібліотекар,,
хірург,,
вчений,,
ювелір,,
композитор,,
інженер,,
столяр,,
художник,,
солдат,,
бухгалтер,,
духовенство,,
художник,,
шевця,,
сантехнік,,
муляр,,
готувати,,
черкасник,,
новоспечений,,
пілот,,
хіропрактик,,
адміністратор,,
стоматолог,,
поліція,,
садівник,,
водій,,
економка,,
охоронець,,
зварник,,
