ಉದ್ಯೋಗ,ಪುರುಷ,ಹೆಣ್ಣು
ವೈದ್ಯ,ಅವನು,ಅವಳು
ವೈದ್ಯರು,ಮಗ,ಮಗಳು
ಕಾರ್ಮಿಕ,ಅವನ,ಅವಳ
ಸಂರಕ್ಷಣಾವಾದಿ,ಅವನನ್ನು,ಅವಳು
ಕ್ಯಾಷಿಯರ್,ತಂದೆ,ತಾಯಿ
ಮಾಲೀಕ,ಮನುಷ್ಯ,ಮಹಿಳೆ
ಆಪರೇಟರ್,ಹುಡುಗ,ಹುಡುಗಿ
ಬಾರ್ಟೆಂಡರ್,ಸ್ವತಃ,ಸ್ವತಃ
ಮೆಕ್ಯಾನಿಕ್,ಪುರುಷ,ಹೆಣ್ಣು
ಸರ್ವೇಯರ್,ಸಹೋದರ,ಸಹೋದರಿ
ಭೌತಶಾಸ್ತ್ರಜ್ಞ,ಪುತ್ರರು,ಹೆಣ್ಣುಮಕ್ಕಳು
ಯಂತ್ರಶಾಸ್ತ್ರಜ್ಞ,ತಂದೆ,ತಾಯಂದಿರು
ವಾಸ್ತುಶಿಲ್ಪಿ,ಪುರುಷರು,ಮಹಿಳೆಯರು
ಛಾಯಾಗ್ರಾಹಕ,ಹುಡುಗರು,ಹುಡುಗಿಯರು
ಶಿಕ್ಷಕ,ಪುರುಷರು,ಹೆಣ್ಣು
ಆಪ್ಟೋಮೆಟ್ರಿಸ್ಟ್,ಸಹೋದರರು,ಸಹೋದರಿಯರು
ಮಿಲ್ ರೈಟ್,ಚಿಕ್ಕಪ್ಪ,ಚಿಕ್ಕಮ್ಮ
ವ್ಯಾಪಾರಿ,ಚಿಕ್ಕಪ್ಪ,ಚಿಕ್ಕಮ್ಮ
ಮಾರಾಟ,ಸೋದರಳಿಯ,ಸೋದರ ಸೊಸೆ
ಅಪ್ಹೋಲ್ಸ್ಟರರ್,ಸೋದರಳಿಯರು,ಸೊಸೆಯಂದಿರು
ಬೇಕರ್,,
ಸ್ಮಿತ್,,
ವ್ಯವಸ್ಥಾಪಕ,,
ಸಂಖ್ಯಾಶಾಸ್ತ್ರಜ್ಞ,,
ಡೋರ್ ಕೀಪರ್,,
ಕ್ರೀಡಾಪಟು,,
ದಂಡಾಧಿಕಾರಿ,,
ನರ್ತಕಿ,,
ಪೌಷ್ಟಿಕತಜ್ಞ,,
ಬ್ರೋಕರ್,,
ಟೈಪ್‌ಸೆಟರ್,,
ಆಹಾರ ಪದ್ಧತಿ,,
ಲೇಖಕ,,
ಗುಮಾಸ್ತ,,
ಮನರಂಜನೆ,,
ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ,,
ಬಾಯ್ಲರ್ ತಯಾರಕ,,
ಕ್ಯಾಬಿನೆಟ್ ತಯಾರಕ,,
ಅಧಿಕೃತ,,
ಕಂಡಕ್ಟರ್,,
ನರ್ಸ್,,
ಪೋರ್ಟರ್,,
ಬುಕ್‌ಬೈಂಡರ್,,
ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ,,
ಇನ್ಸ್ಪೆಕ್ಟರ್,,
ಕಾರ್ಯದರ್ಶಿ,,
ಕ್ಲೆರಿಕಲ್,,
ಚಿಕಿತ್ಸಕ,,
ಪ್ರೊಫೆಸರ್,,
ತಂತ್ರಜ್ಞ,,
ಮಾರಾಟಗಾರ,,
ವಕೀಲ,,
ರೈತ,,
ಪಶುವೈದ್ಯ,,
ಎಲೆಕ್ಟ್ರಿಷಿಯನ್,,
ಅಟೆಂಡೆಂಟ್,,
ದ್ವಾರಪಾಲಕ,,
ನಾವಿಕ,,
ನೇಕಾರ,,
ಸಂಗೀತಗಾರ,,
ವೇಟ್‌ಸ್ಟಾಫ್,,
ಭೂವಿಜ್ಞಾನಿ,,
ಸೆಟ್ಟರ್,,
ಮನಶ್ಶಾಸ್ತ್ರಜ್ಞ,,
ಲುಂಬರ್ಜಾಕ್,,
ಡಿಸೈನರ್,,
ಬೋಧಕ,,
pharmacist ಷಧಿಕಾರ,,
ಪ್ಲ್ಯಾಸ್ಟರರ್,,
ನ್ಯಾಯಾಧೀಶರು,,
ಟೂಲ್ ಮೇಕರ್,,
ಶೆರಿಫ್,,
ಗ್ರಂಥಪಾಲಕ,,
ಶಸ್ತ್ರಚಿಕಿತ್ಸಕ,,
ವಿಜ್ಞಾನಿ,,
ಆಭರಣ ವ್ಯಾಪಾರಿ,,
ಸಂಯೋಜಕ,,
ಎಂಜಿನಿಯರ್,,
ಬಡಗಿ,,
ಕಲಾವಿದ,,
ಸೈನಿಕ,,
ಅಕೌಂಟೆಂಟ್,,
ಪಾದ್ರಿಗಳು,,
ವರ್ಣಚಿತ್ರಕಾರ,,
ಶೂ ತಯಾರಕ,,
ಕೊಳಾಯಿಗಾರ,,
ಮೇಸನ್,,
ಅಡುಗೆ,,
ಡ್ರಾಫ್ಟ್ಸ್‌ಪರ್ಸನ್,,
ಸುದ್ದಿಗಾರ,,
ಪೈಲಟ್,,
ಚಿರೋಪ್ರಾಕ್ಟರ್,,
ನಿರ್ವಾಹಕರು,,
ದಂತವೈದ್ಯ,,
ಪೊಲೀಸ್,,
ತೋಟಗಾರ,,
ಚಾಲಕ,,
ಮನೆಕೆಲಸದಾಕೆ,,
ಗಾರ್ಡ್,,
ವೆಲ್ಡರ್,,
