obsazení,mužský,ženský
lékař,on,ona
doktor,syn,dcera
dělník,jeho,její
ochránce přírody,mu,její
pokladní,otec,matka
majitel,muž,žena
operátor,chlapec,dívka
barman,sám,sebe
mechanik,mužský,ženský
zeměměřič,bratr,sestra
fyzik,synové,dcery
strojník,otcové,matky
architekt,muži,ženy
fotograf,chlapci,dívky
učitel,muži,ženy
optometrista,bratři,sestry
Millwright,strýc,teta
živnostník,strýcové,tety
odbyt,synovec,neteř
čalouník,synovci,neteře
pekař,,
Kovář,,
manažer,,
statistik,,
vrátný,,
sportovec,,
soudní vykonavatel,,
tanečník,,
odborník na výživu,,
makléř,,
sazeč,,
dietetik,,
autor,,
úředník,,
konferenciér,,
ekonom,,
kotle,,
truhlář,,
oficiální,,
dirigent,,
zdravotní sestřička,,
porter,,
knihař,,
chemik,,
inspektor,,
tajemník,,
duchovní,,
terapeut,,
profesor,,
technik,,
prodavač,,
právník,,
zemědělec,,
veterinář,,
elektrikář,,
obsluha,,
vrátný,,
námořník,,
tkadlec,,
hudebník,,
waitstaff,,
geolog,,
setr,,
psycholog,,
dřevorubec,,
návrhář,,
instruktor,,
farmaceut,,
štukatér,,
soudce,,
nástrojař,,
šerif,,
knihovník,,
chirurg,,
vědec,,
klenotník,,
skladatel,,
inženýr,,
tesař,,
umělec,,
voják,,
účetní,,
duchovenstvo,,
malíř,,
švec,,
instalatér,,
zedník,,
kuchařka,,
zpravodaj,,
novinář,,
pilot,,
chiropraktik,,
správce,,
zubař,,
policie,,
zahradník,,
Řidič,,
hospodyně,,
stráž,,
svářeč,,
